gene,"mRNA (scaled to molecules/cell), V1","mRNA (scaled to molecules/cell), V2","mRNA (scaled to molecules/cell), V3","mRNA (scaled to molecules/cell), V4","mRNA (scaled to molecules/cell), V5","mRNA (scaled to molecules/cell), V6","protein (scaled to molecules/cell), V1","protein (scaled to molecules/cell), V2","protein (scaled to molecules/cell), V3","protein (scaled to molecules/cell), V4","protein (scaled to molecules/cell), V5","protein (scaled to molecules/cell), V6","protein SEM (scaled to molecules/cell), V1","protein SEM (scaled to molecules/cell), V2","protein SEM (scaled to molecules/cell), V3","protein SEM (scaled to molecules/cell), V4","protein SEM (scaled to molecules/cell), V5","protein SEM (scaled to molecules/cell), V6","mRNA (mean-normalized), V1","mRNA (mean-normalized), V2","mRNA (mean-normalized), V3","mRNA (mean-normalized), V4","mRNA (mean-normalized), V5","mRNA (mean-normalized), V6","protein (mean-normalized), V1","protein (mean-normalized), V2","protein (mean-normalized), V3","protein (mean-normalized), V4","protein (mean-normalized), V5","protein (mean-normalized), V6","protein SEM (mean-normalized), V1","protein SEM (mean-normalized), V2","protein SEM (mean-normalized), V3","protein SEM (mean-normalized), V4","protein SEM (mean-normalized), V5","protein SEM (mean-normalized), V6","protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6",beta MAP (proteins/(mRNA*hour)),delta MAP (1/hour),half life MAP (hours),beta HDI68 lower bound (proteins/(mRNA*hour)),beta HDI68 upper bound (proteins/(mRNA*hour)),delta HDI68 lower bound (1/hour),delta HDI68 upper bound (1/hour),filter1_model_fits_BH_FDR=0.25,filter2_confidence_intervals<4fold,filter_passed_both
Mpdu1,63.6744301101863,51.10958841566337,35.005751879336124,23.978298906358447,13.423258239444678,14.168994808302715,0.0,16891.95654463208,81786.3682276171,74574.73710476015,70637.75268886544,74177.46833122495,16639.07836144442,16891.95654463208,81786.3682276171,74574.73710476015,70637.75268886544,74177.46833122495,1.8973280146990614,1.5229292787225701,1.0430779451239036,0.7144892884182052,0.3999772571527751,0.4221982158834848,0.0,0.31864773923585904,1.5428077420861794,1.4067684415214632,1.33250166370819,1.399274413448308,0.31387747706037256,0.31864773923585904,1.5428077420861794,1.4067684415214632,1.33250166370819,1.399274413448308,0.0008910023793440651,0.798292267848031,1.2264931977334013,1.376450478879966,1.344296440133797,1.2535766130254615,31.83951399736452,28526.565613491202,43828.10668323175,49186.753374599386,48037.745256928436,44795.918666991885,29.17472026044555,0.012335197967324123,56.19262717923852,12.642161616103365,45.383281771414424,0.004860465553771382,0.10690219907574536,True,True,True
Mpi,48.87442743592678,42.50698442490815,57.50944951605221,24.52326024513931,19.52473925737408,22.434241779812638,206649.50800142766,161987.98091352367,212638.7082785893,252989.17630007066,271208.2460829677,292473.1277226976,18941.292283577724,43763.24333704858,33269.6234789096,40748.32880088538,22503.394202446543,62848.629636005986,1.3615746859512325,1.1841864346125155,1.6021345880051683,0.6831844815072203,0.5439325249894809,0.6249872849343833,0.8869415450938669,0.6952538695474849,0.9126472464965805,1.0858318177948876,1.1640282290019446,1.2552972920652354,0.08129619666916847,0.1878322336166055,0.14279352289999844,0.1748921933382997,0.09658477011054105,0.2697468830944724,0.8129454300006318,0.9219343217662422,1.0386153564748333,1.1014054918063223,1.0759726633136997,1.0491267366382708,194851.7979875533,220974.93090335492,248941.76430322955,263991.69301149837,257895.79508672282,251461.1970333882,57.44669832190088,0.0060560056185585244,114.45616537009275,31.25977524273248,72.7716007625829,0.002345571549519129,0.015731083946263463,True,True,True
Mpp1,162.455843308151,194.82367861416242,196.28225160913468,110.35467110312693,64.26893338885634,20.6631174287748,430416.8350997039,1450747.1152062875,1867182.8072939264,2369160.221933081,2388698.8678129558,2464916.4992658803,67396.90025992293,88030.89109128834,145596.60219710282,65788.29752134778,138580.7942639369,155446.22189355953,1.301645213642706,1.5609860723284044,1.5726725990731083,0.8841949081021029,0.5149420779703616,0.1655591288833156,0.2353907767144504,0.7933994732932582,1.0211440990103773,1.2956706599838832,1.3063561551935372,1.3480388358044937,0.03685870859734063,0.04814323729703437,0.07962536425932766,0.03597897942045915,0.07578848720435656,0.08501202537855136,0.2709105411239623,0.6926354775942117,1.0947401358401203,1.3256939093160325,1.35379606466042,1.262223871465253,492302.9028269208,1258668.1005687178,1989379.0196543918,2409071.854895515,2460139.5342642725,2293733.1023064246,263.98179646875053,0.008305948263187141,83.45190201003881,233.78726045635503,286.1249561114303,0.0059406288870333815,0.012918528915747216,True,True,True
Mpp5,28.567447022407908,32.892309376417025,28.754724758026104,36.2399290289281,27.660047281279944,53.133730531135186,0.0,0.0,44372.9719593128,67683.50063791727,69316.17063043827,100074.71735977897,3724.279461587068,5439.601640005022,30746.091303804464,7509.378097883188,15194.91658774364,17891.817207787833,0.8270503293179136,0.952258536804296,0.8324721688261989,1.0491747902542006,0.8007803845750663,1.538263790222324,0.0,0.0,0.9459595968502792,1.4429021575468843,1.4777080265188987,2.133430219083938,0.07939558119458533,0.11596346034977095,0.6554566631493027,0.16008772828160842,0.3239309096243415,0.38142444477951487,0.00011070750111085788,0.4305631573461671,0.8243518339346954,1.2088567977713176,1.5508886346559512,1.985228868790758,5.077706099013767,19748.193646589618,37809.69033626624,55445.38060461788,71133.0000231692,91054.43293226293,34.955964355188584,0.0046923517637149845,147.71850352735987,30.036236195187932,38.462357333732655,0.0020865813391680293,0.013404598551568545,False,True,False
Mpst,21.683724848333718,5.5663908175474965,5.000821697048019,4.904652049027863,2.0338270059764665,1.1807495673585595,0.0,19389.588118452597,12455.990612507496,15219.5901398736,0.0,28631.699330130898,4032.956954389325,19389.588118452597,12455.990612507496,15219.5901398736,6503.080736358512,28631.699330130898,3.222735054827416,0.8273026402084361,0.7432451527006272,0.7289519766871534,0.30227673674427413,0.17548843883209247,0.0,1.5368869475795977,0.9873056237496048,1.2063582418866565,0.0,2.269449186784141,0.3196663521414695,1.5368869475795977,0.9873056237496048,1.2063582418866565,0.5154570505422028,2.269449186784141,0.03311075553664214,1.3583014963279294,1.3486737317670932,1.3108180489288663,1.122241182570811,0.8268547848686574,204.1659694361856,8375.494225056786,8316.127960131445,8082.704045150641,6919.910321201239,5098.512733991761,42.74946953312094,0.02731693607238,25.374265207611714,10.349050589173975,76.40658827779994,0.01047303539907828,0.16765704520498176,True,False,False
Mri1,9.981397152407585,5.060355288679541,2.5004108485240093,1.0899226775617474,0.4067654011952933,0.0,43540.02389995536,20497.03644563112,0.0,21528.252382896786,13592.717227758289,16168.26251315566,22328.08739670159,11881.291426268177,6630.475013962224,14048.614068665232,8179.352302733325,9997.069851416247,3.14558802711944,1.59474598255029,0.7879921325542613,0.34348375008775484,0.128190107688253,0.0,2.2652262359778397,1.066384915707067,0.0,1.1200352628318204,0.7071787501379303,0.841174835345342,1.1616477171999542,0.618139602263949,0.3449590655515961,0.7308973748059999,0.42554141614690943,0.5201105300806779,1.0158385021795981,1.2119194712133294,1.1705804436985243,1.0321194239401608,0.8658235595596095,0.7037185994087777,10874.884950177857,12973.996151993892,12531.448279264943,11049.17756721204,9268.925697501803,7533.538834618565,33.36175200888863,0.011580535731524141,59.85450039872366,11.852727853872846,88.33714805015288,0.011783478791152387,0.16217842899631207,True,False,False
Mrpl1,16.86511932648178,9.108639519623177,5.000821697048019,2.9972873632948054,1.22029620358588,1.7711243510378396,108557.07735260301,260017.62255061592,302544.7230241123,225293.36068651066,240890.5540371509,206621.86387354505,68087.01011372748,39297.663827382385,62311.33088437146,33571.879140459605,48132.89283385144,41491.208359251716,2.7376004725732495,1.4785436954641238,0.8117494798626562,0.4865293356869125,0.1980824089617008,0.28749460745135735,0.48465678251791133,1.1608575637497716,1.350721257466895,1.0058299097194088,1.0754641125736164,0.9224703739723977,0.3039767839898685,0.17544576342256296,0.2781910666472479,0.1498828019701213,0.21489094532604885,0.18523891796441244,0.649994237246706,1.0960566104403142,1.1971260598026507,1.1451437309086778,1.0194253488132443,0.8922540127884069,144133.42555731104,243045.8376626143,265457.55321487953,253930.69543276753,226053.1850971487,197853.48847891134,567.9192600002882,0.010988820759197132,63.07748535982019,205.1066494931131,885.687285845078,0.004064092949913294,0.023027712168235383,True,True,True
Mrpl10,32.009308109445,14.67503033717067,12.502054242620044,5.994574726589612,3.2541232095623465,1.7711243510378396,0.0,0.0,0.0,11899.349652498115,3125.1976166379864,10964.928309100113,1345.2867892691195,1964.896646629995,2120.4195137805737,11899.349652498115,3125.1976166379864,10964.928309100113,2.7355961109876135,1.2541650629163001,1.068457051571696,0.5123114580613004,0.27810556749043186,0.15136474897265692,0.0,0.0,0.0,2.747115758456332,0.7214914992563491,2.531392742287319,0.31057651437853706,0.4536213069898374,0.48952573299852864,2.747115758456332,0.7214914992563491,2.531392742287319,0.0007436256996055553,1.0925159635788406,1.399800999707122,1.3971346193920102,1.1794728662963767,0.9303319253260456,1.1952675963738102,1756.056750700743,2249.9716957187975,2245.685886349981,1895.827025120296,1495.3700562045158,4.802918697775746,0.019429998254325342,35.67407322878388,1.8698115790440584,8.341650887358066,0.009686710647599036,0.2871534938492561,True,False,False
Mrpl11,46.1209385662971,12.1448526928309,12.502054242620044,6.539536065370486,2.44059240717176,0.5903747836792798,206254.42323650492,283560.9681368121,423642.6132630381,290218.59654683364,348000.4542835988,267788.69555708626,18850.29777650844,59887.942670020995,55462.17191673637,26312.28716584793,14143.326637224143,27203.453211200544,3.4445023538068598,0.9070278053201434,0.9337050937119122,0.4883995874800773,0.1822735302557226,0.04409162942528474,0.6801592933104854,0.9350908682196726,1.3970340898958071,0.9570455383956021,1.1475911126805243,0.883079097497909,0.06216208609335159,0.19749075013801187,0.18289601291651453,0.08676927439070882,0.04664004242761445,0.08970804708764292,0.6685176870286338,1.0435108659032075,1.1153087106630524,1.133493852876648,1.0705931250246146,0.9685757585038434,204507.1564747904,319221.8307415863,341185.60725454096,346748.6488858281,327506.60152820445,296298.3299401473,267.0050395124973,0.006498972845269671,106.65488178865958,183.1211247092339,318.15510460506033,0.003642393436047858,0.011619224424305774,True,True,True
Mrpl12,300.8186590070423,172.0520798151044,92.51520139538832,71.66241604968491,34.16829370040464,11.807495673585596,484623.8821276498,698595.1241420949,1086207.061413265,1576816.5454988952,1546823.5802852456,1113963.954905795,288873.3555823292,115267.24899461716,363004.2164045023,559833.5313916601,173214.8694016709,254884.22907654036,2.6425302319990998,1.5113850446992778,0.8126963181531757,0.6295158070794957,0.300150095001354,0.10372250306759749,0.446861813525325,0.6441603387838388,1.0015694133688928,1.4539504285774716,1.4262945260876243,1.0271634796568478,0.26636423898041484,0.1062855831612576,0.3347187962501787,0.5162110996504088,0.15971790397650074,0.23502355753517423,0.10735264000193058,0.8195832369499629,1.1489927613729234,1.2960107134901846,1.3398195590018127,1.288241089183186,106770.97156226326,815142.4919193275,1142767.1778503866,1288988.5431039284,1332560.0192987712,1281261.0169255587,166.53599583934474,0.004952629965568628,139.9553742918007,118.1275695144504,183.5769786146719,0.002248814446678106,0.010539782413860128,True,True,True
