,protein V1,protein V2,protein V3,protein V4,protein V5,protein V6
Sdcbp,13455.852823204112,12998.463674199547,0.0,37588.511053596616,26279.313029314057,28039.844331073433
Sdcbp2,25788.74816904485,63300.996033832205,63912.1957908553,59630.43163636703,69113.77422328826,83751.15294682214
Sdf4,56416.7551550775,107054.08208925642,40448.14158250027,97468.84456805521,156499.08175810863,83246.96975851584
Sdha,2206003.980419393,4573279.091681468,4844998.423455884,4742827.538997653,3904137.2988967123,4313660.239221206
Sdhaf1,7557.944921418879,5573.641183783208,13309.431062800837,11415.97699121276,15947.971239790366,10208.41379712164
Sdhb,1567507.4373933477,5150975.754370331,4863636.189492959,4366120.835776515,3650505.1976736463,5559094.1594962105
Sdsl,0.0,0.0,0.0,0.0,19067.859621534164,3812.6602697056746
Sec11a,90455.63997433496,144658.18311159895,162167.3142281333,123692.21963219023,98772.25319215565,115082.31108456363
Sec13,226078.0511804475,633400.6908556648,689451.7665658415,893136.2606698801,746589.4371191913,842839.8350327243
Sec14l2,139049.03560121678,224516.13987711095,244859.70829619942,551773.6852906434,393450.64145489485,670267.1635677802
Sec16a,6912.590215944499,11789.402971870159,16014.906213730776,19456.649861156147,22512.9816431493,13966.215011415807
Sec16b,8978.337820620038,44969.9639735641,47719.53901657383,87437.36713157548,73368.91414427946,77990.58582078895
Sec22b,1526997.3057282877,2878146.423187711,3539766.004301761,3143894.701417565,3188794.2462490606,3128698.258620772
Sec23a,221358.7692830151,505576.3956306889,688838.1129800628,886888.191897168,799908.6150917449,1070963.1806728733
Sec23b,278065.95304178365,217059.39176300878,162146.1655218158,168878.80307349455,158433.12347628808,200582.92740674445
Sec23ip,11892.100952782073,0.0,0.0,0.0,0.0,4861.306475662106
Sec24a,69582.67562564446,153987.3001618555,167714.83105884967,226555.46753891296,203230.74711584594,224363.1691058894
Sec31a,501220.6143091927,677714.5732189754,785824.5035811121,956367.105772236,884353.2866674878,1107803.4457639018
Sec61a1,1315680.884715305,1643150.6466800966,1895385.7280126635,1337375.518786784,1484184.4713636828,1425340.9471781894
Sec61b,5919835.259590146,7023557.022471608,7739838.466089438,6801249.980049226,6932623.588195241,6176815.666510024
Sec61g,378596.6498853209,572490.1213867503,473162.88956034265,617676.3221934376,592204.53956024,552733.8957963662
Sec62,80425.06459330619,140983.67769152572,72085.16476300269,231953.0644568093,248426.0201073866,160316.4380106259
Sec63,57648.48220168532,150925.23263457482,245606.95571946428,301212.45861123886,238580.90582063436,234720.7354019245
Seh1l,7877.005544955218,17644.611156770217,3799.745297548921,10680.08542679736,9224.421825258512,11791.79376895046
Sel1l,14465.515437607966,39780.21564325362,40826.77814888623,48213.243214954935,57719.34358924291,50552.25830058407
Selenbp1,245298.28957571762,189332.33900601856,212118.77928851792,271573.74243075756,269883.88669410435,287914.31882939977
Sema3b,866293.2489872572,16048.452171222401,0.0,0.0,3688.9733355426874,0.0
Sema4b,8917.356862408631,1533.7189715792308,5891.302922124296,8474.38891143675,5567.145709810107,2998.725910706965
Sep15,151479.3529134257,291801.4124540912,167229.82003798246,232991.47067386546,384450.8587284345,260903.33264079184
Sephs1,94621.79611005897,37285.86000432398,57458.824970755086,92004.44500802697,138549.3308910369,115228.0512931311
Sephs2,36022.635730187554,31205.840409846038,25386.9024090788,71670.35315893668,47964.768938299254,86671.9083177203
Sepsecs,413730.2436895108,529927.30698315,777339.7608239132,773379.9191966079,930693.8243084021,818809.3672844747
Sept11,159879.17390396213,163215.3392315501,250245.3130314702,206009.442798991,203924.943462881,239780.42868881277
Sept5,247622.50540173758,336819.75736523414,299171.26415727596,288506.435939884,319171.64408257353,319357.0026330398
Sept7,129143.97006756792,178383.47475513633,148663.32115747678,191741.7825561958,182717.24692884766,141763.71703360957
Sept9,90745.21336445847,122321.60863372091,141164.44132016247,159616.71906182115,187697.30502149492,184166.94562579182
Serbp1,973504.2971055023,1189233.6114569223,747896.3708046165,754522.9737306013,741759.0419308799,653710.1418550209
Serhl,45458.19830932249,185830.73154480895,218307.0633992541,184700.5222715898,164094.41095853198,166197.20467899673
Serpinb1a,4286329.680985395,5697748.924544407,5825018.443436594,8290160.706888142,8206934.191317372,12478806.781708734
Serpinc1,14565.702778169649,204005.96425505792,168508.1155073541,45436.45700454114,97498.01637430317,92885.79205231853
Set,2588401.307573863,2206466.8142661457,2040300.754588446,1575392.4765751972,1711032.7274404697,1535844.2026095057
Sf1,119248.45295683216,121433.53224526973,105837.32303725378,97223.07813208901,123413.55527962474,91440.2766007923
Sf3a1,246013.91444700246,351070.9779645916,386402.1424566412,286468.50921362016,289406.7125513473,260341.0450776644
Sf3a2,60182.622297562026,103228.16461106976,76390.94066460364,72113.64946762158,73258.4417609542,66309.180254382
Sf3a3,153640.77494541853,196433.81926515503,193478.1881899567,207760.75229340696,183078.6367112691,184167.47018905092
Sf3b1,172405.9893355009,258230.29108909276,258096.86078225245,238829.36442734173,225940.3620969577,210814.0908232591
Sf3b3,299767.50949430297,364314.06403188943,321755.15093589143,264296.1814431501,268066.7299634873,219497.21473876666
Sf3b4,143440.67835478947,131568.07760367772,153436.21783404975,112848.31923022095,88459.21001209822,84065.24638840106
Sfn,3251640.7811365565,3526280.5981835537,3418899.683886519,4262143.257834392,5251854.3760771705,6291008.0288726995
Sfpq,1660699.5508052742,1581936.2639021152,1818350.2973780385,1396368.0211386338,1501648.8105063399,1329044.3473967048
Sfxn1,323265.9538261811,1122580.3687817391,1417539.6725343359,1303084.9542200854,1468629.548909694,1376711.7864861835
Sfxn3,15178.690983668595,65441.45639186854,58385.689340612895,65050.180630910225,56038.662814578456,77666.89978903953
Sgpl1,611592.642836907,2033698.7383655529,2807503.6868108115,3641066.263330476,3239549.5940424465,3457989.92986672
Sgta,86458.3512724107,1169299.2386070252,205627.86302516595,314645.41906405735,218075.7364981082,245034.36568959616
Sh3bgrl,64466.028001424354,200744.02530405828,110348.42192640412,224528.25207721267,223657.754303664,190880.54187724149
Sh3bgrl3,1571312.805966266,449881.32041717105,221059.15895824888,218523.32480259184,278759.203837754,228580.39948124412
Sh3gl1,18910.38701582154,63184.80812760099,46555.018145738904,93434.76416933743,84391.1161320044,116214.83680969942
Sh3glb1,102189.1615614135,88878.61573887398,103461.99035978298,70074.17343192954,114804.56104891686,153538.69953827836
Shkbp1,0.0,0.0,3397.0487080012967,1606.8089598381273,4491.743587464426,7844.388366885695
Shmt1,132859.97830076554,191088.43613760232,117603.81626048003,175896.73792337516,157490.988378521,176646.0106651899
Shmt2,300437.9614099173,604249.4219467916,606745.5277293865,459715.231064637,398767.7190427326,326076.6657406116
Shpk,14912.591120237495,13110.31863715291,27445.851556272675,31136.1639854879,31010.78467530902,37476.80816462363
Shroom3,0.0,675.6700117744869,0.0,1200.8318055909274,974.1097501944852,607.5334467485799
Siae,8220.774938460787,10603.948269487735,29031.613801420157,28368.950686758923,28715.657031751914,26993.727911188013
Sigirr,29856.432537119785,44096.017460575116,56313.350047813314,63185.413329372415,67996.04967174007,58652.197279412525
Sipa1l3,0.0,1128.7218871646437,1257.4052084179266,3320.3883994346234,9949.134825895959,2769.81148544582
Sirt2,0.0,7872.327772530518,11493.803370222047,32887.64403982386,25436.652818116738,38353.40015227523
Skiv2l2,125840.8959856296,149492.294768963,109038.78964191486,77122.47056353182,73909.24846009235,104636.27737510073
Slc12a2,273426.7477243418,194535.78549034146,161248.62545244553,69997.14311494325,123849.16674218471,69459.58763309864
Slc12a6,0.0,2558.258825311908,3025.2935983002226,0.0,5698.546655346611,2645.3401419901234
Slc12a7,21738.669021418693,92627.19393043095,155421.89471591896,174019.775236241,149724.27805364862,129534.56254690328
Slc13a2,0.0,38609.06332582544,110853.13494367822,156004.43152086568,197882.62315752404,153612.91857564356
Slc15a1,39724.054505768894,242558.16756047535,631364.8415320071,1011547.5226379493,889677.1362774497,1002737.7085433777
Slc16a1,405047.1520878934,679354.5025979686,984469.3785097414,956363.8998385594,1098287.112127901,987218.0605696985
Slc16a10,77639.43001718547,437455.2164855966,813222.9788094973,884374.0690499007,1262246.9250452842,1018502.1309370974
Slc16a3,0.0,4452.707688708643,10822.5652534011,31072.839759384347,45436.931134625665,51478.84288882845
Slc1a5,0.0,12504.034701656812,8724.806869271659,6511.535223373579,5759.9486670177475,4291.935545127028
