,SEM protein V1,SEM protein V2,SEM protein V3,SEM protein V4,SEM protein V5,SEM protein V6
Mrpl15,3894.266038831555,6855.3908108168725,2430.522629705013,6808.823446807662,6748.74520864316,2496.3925258440495
Mrpl16,5896.878827282403,7458.071324406083,6206.268577694517,37014.577544198,5406.010517099748,6515.478455044347
Mrpl18,31848.260291515253,40088.18858321933,47721.02791133524,39629.64084385469,35047.43289810389,47139.452433706785
Mrpl19,36431.50903468988,49240.4474324859,39656.215206092995,35308.89718906905,25407.64039112173,43462.20375950856
Mrpl20,850.3411646263689,1241.989824172393,1340.2941389354207,1364.9686477470434,16453.943772435043,1372.7165156178362
Mrpl21,52795.3460437321,42269.520478728846,30686.50451296041,48581.085631948146,42494.83855697372,35881.03033008997
Mrpl22,17512.9398757347,10037.596409493033,28576.676814793118,20702.834788424665,38185.10115662496,27264.29345283317
Mrpl23,41036.10985245842,101628.30583027005,43578.47422570413,20529.222016481097,16736.49595926872,38041.608614464334
Mrpl24,13225.380336372695,58861.45791477979,43366.159719504314,20168.339243383212,40680.147017218136,26631.460364393297
Mrpl27,6104.616874362757,22778.885831238415,74510.63709212602,54728.31406638962,57799.249343884454,67819.97719864707
Mrpl28,17240.399704318414,32148.373809383127,56583.88749847007,53911.333532325174,27272.02677166652,17021.409812711197
Mrpl3,24160.745890851787,32839.849497010626,40646.34775152472,65415.21581874394,28502.67774359939,19125.629557633074
Mrpl30,23064.53855749331,50007.11390122025,52151.45292881318,40193.98209991638,48828.359316864226,39663.41680905091
Mrpl32,10359.166996139184,32140.60101277526,30203.923152057218,27123.89752035754,14157.888575837911,35597.45326426688
Mrpl37,7159.939922680438,35084.53967853533,14638.91090196646,17981.72609661488,9000.858599012638,21295.51902688133
Mrpl38,6294.055555675259,26367.585271103624,20308.99510694303,14895.404115628402,9698.969241650093,20564.567496433272
Mrpl4,22245.503367209018,43589.44598340623,21972.86357159237,26446.785693226037,17035.52650931521,20441.179511649927
Mrpl40,23174.466302024575,62490.91789863752,44601.50561724688,54126.084888861245,23124.290265825766,40152.801431999345
Mrpl41,48277.81518322332,107169.19265390853,109539.50808582745,117835.67827390193,122823.39997981736,150897.14660351927
Mrpl42,23424.148847096745,11354.096969610657,12252.781242724011,37055.40409536971,44271.73516274495,31188.618097059447
Mrpl43,364893.7265001453,470900.05211237806,643433.1863236269,388109.47101963573,242683.20730790874,226704.16089107838
Mrpl44,10368.293130070946,15500.46730755895,14953.428060649107,144327.54190662116,19081.948112938928,19934.268137461673
Mrpl45,4355.538233849058,5442.264625431493,18458.66741450199,6796.5203628236595,12737.19984542769,11443.283084477749
Mrpl46,81457.2435394151,125718.64262492258,110123.89502411327,43026.334389262905,79379.09176958146,45485.78676971603
Mrpl47,7462.162767512207,28272.975916947922,22099.90747628103,9162.845696065155,23574.98679800513,18346.474177179924
Mrpl49,28761.818867832983,31932.797349981276,71868.58660938281,19777.19394206658,14808.142985264887,24948.976345943276
Mrpl50,23033.6955672501,15489.624527143967,59818.45656242828,40832.10304096024,39625.45190851938,26256.64398158667
Mrpl55,22172.14637065955,46844.77432299051,42578.92704497758,59239.532174212196,22069.215496618872,36679.54313147631
Mrpl9,36135.4799315753,17130.60596057166,21779.620771442223,38877.3031368797,41918.09716912692,45449.21318821273
Mrps10,50346.992403585755,48992.96674198673,56728.36877829245,30276.91073980927,97557.4576033975,53173.987169480846
Mrps11,13575.429315346517,34466.14986573385,30096.030539577292,28923.060362848093,11646.565824342753,24655.400606517156
Mrps14,8819.751745828482,6597.112955645104,4317.430821387728,5344.53695930579,6058.660273029239,7001.071165692094
Mrps15,36487.0590245571,49280.5709541634,23415.73713611733,62141.42767771646,44343.31564495279,46142.96515984429
Mrps17,29633.343211245076,52128.478469749076,54976.78651710444,33254.051213501545,43573.19618209075,32818.400906857496
Mrps18b,43283.24057355651,88152.55413934898,43908.591328343275,60865.83845919492,29922.293268198937,18856.38567921296
Mrps2,58600.187086856364,63585.64387579622,52373.29722504234,34364.038221098686,40595.822661931736,46056.06553105361
Mrps21,47575.23106776034,87208.75457962614,96684.29740074273,97075.78267508122,89481.40239514178,79220.57950555735
Mrps22,18347.540791498584,26775.44531027234,60022.238759119944,27106.755069991246,30416.39632878683,26986.237835256397
Mrps23,71621.25012332095,127576.41670991192,65783.46748136857,22142.85606170723,48158.613788773924,48319.182959559046
Mrps25,105796.33147363964,171659.36623876306,76381.59269797058,32222.15770630473,37516.54264813624,49385.77863507375
Mrps26,43569.571717182014,35563.00447634966,133012.28259079624,58991.65542815687,56994.870672207595,60929.66264376916
Mrps27,5861.75058567806,20738.507742024012,63771.21140827619,21134.359298983003,12036.12658124354,9609.922399354222
Mrps28,47316.908373377984,85591.58846036665,55468.50644718143,37976.20750328871,25416.699648798167,39692.313836941736
Mrps30,25583.88825711956,12205.423355451543,25863.5752408008,21081.47305073202,15814.95172720219,16000.99976063108
Mrps31,38045.418737790875,59415.950607835846,53286.54108925808,38705.848674604975,42590.435362522505,35965.321314645196
Mrps33,29185.99845714642,76896.99166373276,19273.840343590065,20960.39571414915,65978.69079110617,41755.169049938304
Mrps35,34833.676537091334,49928.32709373026,37973.933955182634,34790.70455309978,21681.387858369024,23859.81843113499
Mrps36,230557.41567966357,212142.87751751047,486003.6374670634,242970.30502679147,290478.70229350514,218635.175600321
Mrps5,24657.304359835936,20573.02592064083,35311.305973579205,23080.516818251992,31917.77955566699,11937.703250654753
Mrps6,45023.94702112714,25874.089924599713,57021.71966196403,33773.29896189486,58713.25133418904,58248.02319512218
Mrps7,40713.36849017666,33521.06245254877,25408.239895949322,59467.27391282633,22318.398413210816,23317.50526743126
Mrps9,16829.706755078067,12377.663296254412,17321.203547506728,18055.7190263529,19150.97537410643,5453.809286447153
Mrrf,13337.244938696584,35217.45932059605,22054.408631252754,28786.8612744533,12789.209945719509,23204.314628200962
Mrvi1,1258.1298017834195,22051.16453920638,1983.0440645446424,2019.5514526044813,2028.71485372826,2031.0148791372985
