,SEM protein V1,SEM protein V2,SEM protein V3,SEM protein V4,SEM protein V5,SEM protein V6
Ms4a10,6997.3964095504225,17647.638006162277,24541.568956098152,23030.617972305972,41109.091979365185,26594.387701689357
Msra,33530.08628368376,96862.65090136034,51849.6974776891,32273.37008046972,106165.92814831292,109178.42163125315
Mta2,40006.125869556665,22277.350619991397,13171.216854924776,11960.260076030047,14033.739874899064,22808.749772961593
Mta3,12164.9267127601,4042.5194326636615,13283.156072925143,8311.722365317244,12001.233619048397,4468.01824130984
Mtch2,138640.59043359797,512978.93046559306,261860.94854919615,258939.4712637633,86323.54484942916,255338.93415083454
Mtdh,38505.32030720092,45557.53043125622,35553.98156683345,13979.859424927761,30514.39817368146,25305.04953943885
Mtfr1l,12112.122818001533,17044.086632435992,14814.024741553887,45969.1373938359,32462.8409919936,30856.474981196734
Mthfd1,90338.21845239868,44400.371041362654,93509.43008867948,87857.74850549684,99899.63785407672,85680.5158274856
Mthfd1l,11885.624482723397,7208.677804643969,9171.443909591744,17935.045479681005,15745.125417878335,12390.589042099475
Mtif2,2594.8925899544615,3523.1247931467215,9311.765148595852,11332.67235446889,10584.381720943687,4735.920294664913
Mtm1,2352.801769533675,7373.707184238808,3828.603585395383,11554.940029597625,10486.661172842363,11387.761364047148
Mtor,106536.30460762662,227.03953443877566,654.6778593225454,938.3771616666811,1046.5106182796444,1161.3972923641252
Mtpn,148621.35512919445,118524.54893789979,125006.42204540255,190072.25675274016,146850.92721887067,168048.23719032007
Mtrf1l,1058.4622000538536,1545.9668853214125,5188.787445395183,7490.879219110417,7647.890694104364,1708.6889399380477
Mttp,440622.23182252224,1079880.851397639,1363588.0153406977,1303645.1498018892,1481865.0436717921,1400494.3479101611
Mtus1,3713.6531078587636,7499.537977440856,9600.565727426343,8718.273105776902,11203.446390747102,8907.992046521023
Mtx1,61173.88415340019,53255.83356149895,15475.949283673703,23929.522236334567,35791.525893872364,20096.643817682212
Mtx2,31549.51997918591,102896.90144593167,54659.00481059165,68756.13593837792,11991.439445306542,81332.92831092
Muc13,85050.2703649519,258549.95586364632,350472.286416736,192374.69108656162,225521.32654121047,172860.80978798575
Mut,31429.28538486879,12489.250856067521,37349.22726841194,16508.40800445988,29282.885064042028,22417.021416751235
Mvp,219461.0562619905,354912.9931669388,332653.2473895797,356202.2026855175,163197.59323050812,198231.47896587255
Mybbp1a,30960.97298549813,31839.5123658548,10724.699905706071,10623.528584387817,7826.442433861376,16710.746401102995
Mydgf,175104.31025989034,486170.90921645786,209392.1112882578,362692.83032249357,173756.96991987983,129489.98397315122
Myg1,12243.91485850492,12662.85445900388,15158.473646811515,14671.154960267588,12874.481870916237,6716.164167174278
Myh14,202614.0765550072,606384.9832407454,367955.64481199224,156061.24127706263,324940.33158324554,359588.0548864853
Myh9,382279.7990214647,355231.83937532455,441133.24701002607,364772.85616535513,170008.01175314575,160410.8290136278
Myl12b,780159.1211848526,1558673.504628355,1705556.9641369695,1752520.2111350445,2160050.4795876388,2050560.2927040765
Myl6,1077906.763703217,1289565.46592064,1493151.8019658371,843129.6758704416,888433.9327458268,470553.75791958696
Mylk,8265.55445275409,103781.39494647691,40636.08981263929,17559.3874670249,38146.02299234547,85282.79180429214
Myo18a,22232.77030691686,23700.955342244964,20731.083797137017,25540.978684196994,17039.38848479156,12240.067628737635
Myo1a,223061.4112051105,955708.4623129078,1208498.7426656827,692547.9602051239,1235222.8657921655,886028.4993179458
Myo1c,2429.8045900540874,2964.1715732187017,5583.270778029103,2305.2340717694005,3448.928044988438,4709.588666688138
Myo1d,24547.107594214445,122199.7459811524,153777.28543730956,155921.7795326144,175221.1759722976,155270.09290233577
Myo1e,6148.085779268389,12000.194911419036,24928.006155404615,10314.477673908472,9392.517393741695,16473.918717395805
Myo5b,12310.519484586915,12083.221413484103,23652.108827431046,8355.450528522451,7830.939967949762,4827.172111790861
Myo6,27068.10244766592,48165.07573291492,107762.7138249378,139663.30287284093,62455.14700720538,67124.65602649603
Myo7a,1135.5121336710356,1602.9677403185076,1955.4863470425241,4393.384421130497,2342.9416148216883,3992.058686962817
Myo7b,23812.079889208813,64373.68518134585,71269.5502474817,78276.90723777973,63440.916305338564,72640.89901067199
Naa15,13809.448729238664,14300.144490981393,11709.905929667437,2829.3384017031467,4915.2998231224365,4907.797213261825
Naa50,42289.01599233041,46848.210799429966,27796.133406429184,9206.99186975481,16757.673480357258,14920.418471730476
Naaladl1,62319.16276840094,255936.24034998065,378806.4044962296,242583.69406726857,403725.0460907093,451887.7421931238
Naca,548411.5316826387,749475.4580372425,555011.1944707121,456152.8755277957,691218.8098025683,617176.4671740291
Nadk2,34851.06793808614,31983.359298293606,67686.11586302416,3308375.1530002593,54113.848754071936,59119.60402916615
Nadsyn1,4078.0362978260964,9821.710360709581,13869.660940719034,24494.224071581582,11145.228359759227,18146.907392074845
Nae1,14762.79581041315,4150.225762645246,6222.186882854534,1880.8229857109272,5671.457129137221,13913.507899236065
Naga,18613.877093185558,21298.9625689321,15028.648752921243,17024.021847685228,20865.66165623002,11941.252866897148
Nagk,12196.123909444532,46293.6120323722,470654.0212240477,35908.1294542055,456117.9463852491,11010.249454979006
Naip1,670.6552606475755,1548.1432072474947,2336.911072591992,1575.7366300084996,4146.187378361936,3151.6620528488384
Nampt,4415.7292846345335,16314.417817051346,28880.37454675578,20463.19799098246,15775.398169134074,20600.60367526633
Nap1l4,93829.92448228438,54176.66309303013,17613.728624826897,37239.13912359978,24879.918658420545,40608.02292065646
Napa,47518.48493978286,45443.234582996556,110384.78041626011,66776.74999545039,59110.415883955655,40458.5148999636
Napg,17493.71021854058,21905.60884386309,27847.54495751372,12848.858133490703,10641.819566885835,22556.89257824833
Naprt,21205.919176350577,59762.555423071644,93908.60068508441,63654.2959075078,50713.060451241676,166683.5336181131
Nars,80930.87363591231,135013.96812163276,120024.69623621313,157412.41845221727,86706.10078295371,219182.7328625755
Nasp,39537.06778612551,31534.178287049544,44612.76386663409,33131.729945247935,28855.71492294343,29486.089309158073
Nat2,882.7915998776487,4460.717319328493,9943.140263237976,12489.585325406202,12387.743253166553,22591.768729837222
