gene,V1,V2,V3,V4,V5,V6
Nudt4,135.95351293796534,115.88213611076151,123.77033700193843,114.16940047459305,102.9116465024092,184.7873072916146
Nudt5,84.66978274111258,119.93042034170514,113.76869360784238,94.82327294787203,58.574217772122246,17.12086872669912
Nudt7,22.027910957037424,13.662959279434764,13.752259666882049,8.446900751103541,0.8135308023905866,2.361499134717119
Nufip2,47.497683001111945,43.519055482644056,36.25595730359813,30.517834971728927,17.08414685020232,25.386115698209032
Numa1,28.911633131111618,24.795740914529755,15.002465091144053,20.981011543063637,14.236789041835268,11.217120889906317
Numb,35.4511691964821,33.39834490528498,37.50616272786013,36.2399290289281,21.558566263350542,14.759369591981995
Nup107,2.0651166522222586,2.0241421154718164,0.0,1.6348840163426213,0.0,0.0
Nup133,1.376744434814839,0.0,0.0,0.0,0.0,0.0
Nup155,2.0651166522222586,1.5181065866038623,0.0,1.907364685733058,1.22029620358588,0.5903747836792798
Nup160,2.753488869629678,2.0241421154718164,2.500410848524009,0.5449613387808737,0.8135308023905866,0.0
Nup210,3.0976749783333872,0.0,0.0,0.27248066939043686,0.4067654011952933,0.0
Nup214,7.572094391481613,2.0241421154718164,6.251027121310022,0.8174420081713106,1.6270616047811732,0.0
Nup35,3.0976749783333872,2.5301776443397705,2.500410848524009,1.907364685733058,1.22029620358588,0.0
Nup43,2.409302760925968,1.0120710577359082,0.0,0.27248066939043686,0.0,0.0
Nup50,29.944191457222743,19.735385625850213,12.502054242620044,13.624033469521844,8.948838826296452,4.722998269434238
Nup54,4.474419413148226,3.542248702075679,3.7506162727860133,1.907364685733058,0.0,0.5903747836792798
Nup62,11.013955478518712,5.060355288679541,2.500410848524009,1.0899226775617474,0.8135308023905866,1.1807495673585595
Nup85,3.441861087037097,0.0,0.0,0.8174420081713106,0.0,0.5903747836792798
Nup88,16.176747109074356,3.0362131732077247,5.000821697048018,2.179845355123495,2.44059240717176,0.5903747836792798
Nup93,1.7209305435185485,1.0120710577359082,0.0,1.0899226775617474,0.0,0.0
Nup98,1.0325583261111293,0.5060355288679541,0.0,0.8174420081713106,0.4067654011952933,0.5903747836792798
Nxf1,69.86978006685307,38.96473572283247,37.50616272786013,18.528685518549707,16.677381449007026,4.132623485754959
Oacyl,1.0325583261111293,0.0,1.2502054242620044,0.0,0.0,0.0
Oas1a,2.409302760925968,3.0362131732077247,5.000821697048018,4.0872100408565535,4.88118481434352,4.722998269434238
Oas3,1.7209305435185485,9.108639519623175,12.502054242620044,15.5313981552549,22.37209706574113,20.072742645095513
Oasl1,8.260466608889034,14.67503033717067,15.002465091144053,31.0627963105098,52.47273675419284,121.61720543793164
Oasl2,10.32558326111129,23.277634327925895,30.004930182288106,31.880238318681112,27.253281880084653,20.072742645095513
Ociad1,67.46047730592711,46.55526865585179,35.00575187933612,22.888376228796695,10.575900431077626,5.313373053113518
Ociad2,255.73027876685632,264.65658159794003,181.27978651799066,90.73606290701547,16.677381449007026,1.1807495673585595
Ocln,54.38140517518614,35.928522549624745,45.00739527343216,32.15271898807155,32.541232095623464,60.80860271896582
