gene,"mRNA (scaled to molecules/cell), V1","mRNA (scaled to molecules/cell), V2","mRNA (scaled to molecules/cell), V3","mRNA (scaled to molecules/cell), V4","mRNA (scaled to molecules/cell), V5","mRNA (scaled to molecules/cell), V6","protein (scaled to molecules/cell), V1","protein (scaled to molecules/cell), V2","protein (scaled to molecules/cell), V3","protein (scaled to molecules/cell), V4","protein (scaled to molecules/cell), V5","protein (scaled to molecules/cell), V6","protein SEM (scaled to molecules/cell), V1","protein SEM (scaled to molecules/cell), V2","protein SEM (scaled to molecules/cell), V3","protein SEM (scaled to molecules/cell), V4","protein SEM (scaled to molecules/cell), V5","protein SEM (scaled to molecules/cell), V6","mRNA (mean-normalized), V1","mRNA (mean-normalized), V2","mRNA (mean-normalized), V3","mRNA (mean-normalized), V4","mRNA (mean-normalized), V5","mRNA (mean-normalized), V6","protein (mean-normalized), V1","protein (mean-normalized), V2","protein (mean-normalized), V3","protein (mean-normalized), V4","protein (mean-normalized), V5","protein (mean-normalized), V6","protein SEM (mean-normalized), V1","protein SEM (mean-normalized), V2","protein SEM (mean-normalized), V3","protein SEM (mean-normalized), V4","protein SEM (mean-normalized), V5","protein SEM (mean-normalized), V6","protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6",beta MAP (proteins/(mRNA*hour)),delta MAP (1/hour),half life MAP (hours),beta HDI68 lower bound (proteins/(mRNA*hour)),beta HDI68 upper bound (proteins/(mRNA*hour)),delta HDI68 lower bound (1/hour),delta HDI68 upper bound (1/hour),filter1_pval>0.05,filter2_confidence_intervals<4fold,filter_passed_both
Retsat,61.60931345796404,108.79763870661013,85.0139688498163,60.21822793528655,17.897677652592908,5.9037478367928,2852.0625927930864,107062.79727101592,129811.96940081562,205593.27037024483,208859.69962588808,199764.19411494676,2469.9586585421357,36675.39743152102,64456.58503680798,45210.555236640976,38013.505025824685,49821.097203122365,1.0890150105321186,1.9231225769589035,1.5027190368795154,1.0644259844563235,0.3163619025009507,0.10435548867218859,0.02003922469096834,0.7522469724117763,0.9120877041665874,1.4445439417462447,1.467494598564363,1.4035875584200597,0.01735447765452302,0.2576894811558339,0.45288627031854595,0.31765939396976334,0.2670913220588704,0.35005408497231194,0.017598073544056767,0.6196565723635745,1.1809104746079682,1.4644758606677806,1.4558522758244856,1.261506742992135,2504.628199655196,88192.001320942,168071.90108432109,208430.06077682768,207202.71769711145,179542.68429684703,65.87688855501811,0.010974954117120544,63.15718254153427,33.24151913113317,277.23340434149503,0.0050044399016761386,0.026805710367521374,True,False,False
Rexo2,25.46977204407452,7.590532933019313,1.2502054242620044,2.452326024513932,0.4067654011952933,2.361499134717119,379312.8906508147,252996.7550677543,679476.0177268848,790585.7320205439,589975.3309883144,259514.6390016657,318144.90728224005,242804.34135506127,411601.20424046257,270305.9977711545,344363.47531207296,259514.6390016657,3.8657823472255144,1.1520852313763297,0.18975521457963077,0.3722121516754296,0.061738538714903785,0.35842651642819134,0.7709973681481923,0.5142451973424712,1.3811136776511697,1.6069570365444743,1.1991931692168345,0.5274935510968581,0.646666359752493,0.49352793636544307,0.8366271039498131,0.5494282372493466,0.6999586349317839,0.5274935510968581,1.132068537728182,1.1664382378652958,1.0753982649556453,0.9696743844940412,0.8715918244104879,0.7848287505463467,556951.5632613439,573860.6615908529,529071.0984668267,477057.3921100442,428803.0388207683,386117.6112061413,187.81746177880908,0.006413503287915644,108.07621816706273,36.09792974835077,922.0251025671922,0.003394041136860183,0.019299342741134852,True,False,False
Rfc2,16.52093321777807,10.120710577359082,8.751437969834031,8.446900751103541,8.948838826296454,5.313373053113518,70478.73771398202,34679.42157783207,56928.21155101113,32549.9627392128,43643.480155051584,90228.54568881348,20001.449603271518,34679.42157783207,51561.966193175016,23534.114518875333,37885.61079177799,84895.60121775053,1.7060560334769697,1.0451285720952663,0.9037288241059068,0.8722803851718184,0.9241136848000252,0.5486925003500148,1.2872501236282037,0.6333979745009359,1.0397582268621377,0.5945047388644239,0.7971209055012608,1.6479680306430384,0.365313984184009,0.6333979745009359,0.941747107135125,0.42983590238013875,0.6919570179216088,1.5505651308133463,1.2454840584074889,1.1725851464896373,1.0408566410513322,0.9291892120998992,0.8516021580466808,0.7602827839049615,68191.98745309329,64200.67046008216,56988.35125822153,50874.40394386422,46626.404637245614,41626.54167339621,73.40406126884457,0.01727166396129577,40.132044145441064,19.908067908929464,189.8244677381131,0.005759025691053437,0.06351390697298459,True,True,True
Rfk,355.88843639963585,480.7337524245565,481.32908834087175,433.5167450001849,346.56412181839,231.42691520227768,0.0,0.0,0.0,0.0,109241.56737545344,152083.67816953306,13193.551395491146,19270.21442634196,20795.46462376646,21178.304375276883,109241.56737545344,146216.78772784362,0.9166637249868885,1.2382284647472448,1.239761874610709,1.1166113693838107,0.8926470386807438,0.5960875275906035,0.0,0.0,0.0,0.0,2.5081748335710894,3.49182516642891,0.302922544692757,0.44244208521425776,0.4774616684369265,0.48625162864253973,2.5081748335710894,3.3571219823690415,0.0,0.4566183955748069,0.9268608259646464,1.3160463492141246,1.586093081088489,1.7143813481579324,0.0,19887.652390657368,40368.688821873366,57319.35589282736,69081.02731210894,74668.52112751946,96.61269995280529,0.006456054955471031,107.36389100476198,21.07671213765086,467.45711414646047,0.003045943892859957,0.02466300998458352,False,False,False
Rhoa,201.6930597003739,159.40119159340557,137.52259666882048,94.00583093970072,63.862167987661046,76.74872187830638,1667054.6427811326,4132428.4533753004,2454478.5459744497,4250656.119199758,2849797.705709572,4382259.189216997,299861.5984157627,720963.250559065,1446490.0286947796,357394.5438107056,1400368.5783241107,1313340.5957558258,1.6504404731975704,1.3043690173201787,1.125337975727213,0.7692432666247208,0.5225797402724544,0.6280295268578638,0.5067889110446329,1.2562689081157377,0.7461678085258282,1.2922104234571712,0.8663458526858029,1.332218096170826,0.0911586993163601,0.2191746876661904,0.4397366994858555,0.10864886310442344,0.42571565961750657,0.3992589284556457,0.5173394007215845,0.9638699103374252,1.1734854915914703,1.2099316489051246,1.113874944625319,1.0214986038190756,1701759.906484165,3170597.8052142626,3860116.893563152,3980004.5517915455,3664031.2316377405,3360164.267566346,664.4098780532107,0.01820144397262504,38.081988528077126,341.7338800217878,976.9218609374524,0.0072202569798595455,0.04973330110208789,True,True,True
Rhob,9.637211043703873,15.181065866038626,15.002465091144051,16.893801502207086,19.93150465856937,61.98935228632438,0.0,10482.658222764936,16945.671396113106,128198.88761036086,174208.01522848694,157105.02007189518,8503.603377539423,10482.658222764936,16945.671396113106,23083.954783479283,47406.31594082146,65113.03456527292,0.4170887527671341,0.6570211858002686,0.6492915247908535,0.7311466529161963,0.8626153750411181,2.6828365086844297,0.0,0.12916563995243668,0.2088018557687295,1.579646212582055,2.146563332854349,1.9358229588424303,0.10478004231562854,0.12916563995243668,0.2088018557687295,0.2844368030397126,0.5841330515752057,0.8023124097095922,0.0,0.3377597082202312,0.711317980144651,1.0693635393936742,1.4568861653282783,2.4246726069131648,0.0,27411.466269181747,57728.22614674937,86786.02531972084,118236.08620864384,196778.44858532515,95.3805528963696,0.005780993381012515,119.9010507150146,22.358636001270657,463.44375205785013,0.002705480397924549,0.02073459380753129,False,False,False
Rhoc,86.73489939333487,138.14769938095148,115.0188990321044,117.4391685072783,104.9454735083857,188.32955599369026,203475.37042355325,65380.750164805664,67905.99296778436,534756.4303550164,150410.3570634814,448701.4768828443,92134.69777662783,32101.9471716511,23272.896572930316,239436.6140270037,44245.92719782445,189606.39002760922,0.6933100376943823,1.1042750649983437,0.9193964342067658,0.9387427081149629,0.8388751321886574,1.5054006227968872,0.8301557216028275,0.26674581655272267,0.2770485119451202,2.181743713743025,0.613656671294698,1.8306495648616068,0.3758987948182708,0.13097219119770698,0.0949506970208348,0.9768733910250024,0.18051820986705688,0.7735719031066423,2.4984528754909934,0.7114428810233859,0.6514248092603881,0.6342785860269518,0.5842914117294048,0.920109436468876,612383.4493904067,174378.25215724,159667.5188980575,155464.89277262124,143212.78326841636,225523.4813707435,101.32545742403978,0.22941963205424126,3.021307175647748,70.86011612221795,168.56421060822763,0.16764646026593355,0.6080234078853924,False,True,False
Rhod,24.43721371796339,33.39834490528498,38.756368152122135,49.591481829059504,68.74335280200457,170.61831248331188,4783.604909933707,7629.3686473633325,9402.284812329966,37687.92148606543,25536.423529606007,55520.875174073066,4142.7233736705775,7629.3686473633325,9402.284812329966,24763.422652494693,14971.211685691333,42441.39555279822,0.3803012727630126,0.5197578260045802,0.6031414344545127,0.7717616204310431,1.0698103665305232,2.655227479816327,0.20419416434669385,0.3256691521923393,0.4013482982711328,1.6087561114903173,1.0900542083236995,2.369978065375818,0.17683733362877224,0.3256691521923393,0.4013482982711328,1.0570576981367423,0.639064913799406,1.8116641030730989,0.059764215410100074,0.37228564649738816,0.6856262591106769,1.0125797340734204,1.428034945814899,2.441709199093516,1400.0811197948385,8721.44143874298,16061.992515578064,23721.44866681352,33454.21256387473,57201.302254567374,54.000133147653656,0.015110617286979272,45.87153306815772,17.16785604328323,292.6006539073977,0.005336647144072515,0.09823995145323924,True,False,False
Rhog,29.25581923981532,30.362131732077252,15.002465091144051,20.708530873673197,13.830023640639972,9.445996538868476,225838.3471465605,573302.200077631,659762.4493059972,801500.8779377872,843292.7230310228,823869.0393402869,53989.888323365,50379.07449949962,87070.65056155641,30907.773507812475,37160.88900408075,30739.902012646602,1.4799963248325791,1.5359625724102821,0.7589462122497863,1.0476052416952177,0.6996346262844921,0.4778550225276432,0.3450050764701733,0.8758130400677353,1.0078952363534914,1.224423908417932,1.2882677989458078,1.2585949397448593,0.08247840008114558,0.07696229037186848,0.13301468432995045,0.047216687942130305,0.05676934636894221,0.046960236729310906,0.34934170209466586,0.8298739744138285,1.0815023242728914,1.2028767832610654,1.2859699173501842,1.2504352986073648,228677.07744365945,543230.7508024996,707945.2274960044,787396.2532146564,841788.54289894,818527.7849835262,686.9851377752409,0.011151356353468771,62.15810512990494,487.53098916197365,942.5493217177774,0.008629073623842692,0.01768749511683904,True,True,True
Rhot1,19.61860819611145,9.614675048491131,12.502054242620044,3.8147293714661163,2.847357808367053,1.1807495673585595,16571.636146321092,46770.287390111065,39172.14887183922,47318.244345387044,33736.819747751884,50509.05024692319,7683.532730687741,8165.375130054134,7332.772840444501,8243.247208893275,8921.7927627613,6734.7358817534,2.3742634938533085,1.163577545598745,1.5130110500045597,0.4616623460270324,0.3445900764603686,0.14289548805598618,0.4247718177380937,1.1988375689289397,1.0040785794522935,1.2128830542316373,0.8647577174892502,1.2946712621597867,0.19694785329865713,0.20929865982343018,0.1879570140808101,0.2112947128496662,0.22868750531684867,0.17262785504214903,0.4897177862211761,0.8952081912290077,1.132683849308332,1.2371764192805297,1.1722209645995196,1.072992789361435,19105.375236176817,34924.785027523576,44189.43026753616,48266.00215216372,45731.89297697299,41860.7010879602,62.14330596394854,0.007872840637175653,88.04283136215098,33.70408113332305,117.71768813847241,0.004032459953887149,0.019743452937074926,True,True,True
Rhot2,30.288377565926446,40.98887783830428,26.25431390950209,20.98101154306364,17.490912251397614,8.855621755189198,58331.15932952548,162666.75658549962,188089.61370297146,185825.9904166212,184303.23483203922,178673.73595186512,32265.72545866209,15366.057676058974,17859.51629359011,23602.2685655118,14630.451885669818,27015.086384872833,1.2545311047009269,1.6977410586953092,1.0874419853081065,0.869024150652205,0.7244657929006388,0.36679590774281373,0.36537261757143796,1.0189061785956353,1.1781489565195369,1.16397015440355,1.1544319727480614,1.119170120161779,0.2021048904938447,0.09624935933706955,0.11186779573307425,0.1478390408407346,0.09164169824779048,0.1692161263347858,0.4750241441698192,0.9363369963578568,1.2028858728066838,1.2195518943863193,1.1573110026519975,1.0088900896273238,75836.85176824608,149484.71750212804,192038.8231835768,194699.5271153949,184762.86739333297,161067.7038558433,130.99850903173228,0.01992844300732719,34.781803089438164,63.623383660023315,217.54232807816314,0.013276364244817934,0.036202581542196965,True,True,True
