,beta_HDI68_left,beta_HDI68_right,beta_HDI95_left,beta_HDI95_right,beta_mode,beta_p16,beta_p50,beta_p84,delta_HDI68_left,delta_HDI68_right,delta_HDI95_left,delta_HDI95_right,delta_mode,delta_p16,delta_p50,delta_p84,model_HDI0.68_left_tp1,model_HDI0.68_left_tp2,model_HDI0.68_left_tp3,model_HDI0.68_left_tp4,model_HDI0.68_left_tp5,model_HDI0.68_left_tp6,model_HDI0.68_right_tp1,model_HDI0.68_right_tp2,model_HDI0.68_right_tp3,model_HDI0.68_right_tp4,model_HDI0.68_right_tp5,model_HDI0.68_right_tp6,model_HDI0.95_left_tp1,model_HDI0.95_left_tp2,model_HDI0.95_left_tp3,model_HDI0.95_left_tp4,model_HDI0.95_left_tp5,model_HDI0.95_left_tp6,model_HDI0.95_right_tp1,model_HDI0.95_right_tp2,model_HDI0.95_right_tp3,model_HDI0.95_right_tp4,model_HDI0.95_right_tp5,model_HDI0.95_right_tp6,pp_pval,"protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6"
Eif5a,10.474004236625788,146.33429148482819,4.5521972317912685,59185.27917363315,52.45655790958874,13.352052356883652,47.81188455915983,203.27460564889432,0.005206488976311066,0.009211933496723241,0.003736066415427125,1.6709529280636084,0.00707105723030941,0.005479494582640879,0.0071341744911071585,0.00990595123896867,4343044.8923001485,4186718.3949462892,3829915.2141151438,3346801.167304797,2888766.168444923,2485764.5021970333,5095131.272031788,4529449.675149573,3914212.007384005,3556089.08921241,3265839.307302135,2998621.528272955,4112641.330601933,4067729.723663329,2975111.936315415,2286959.266538437,1238402.8704968654,772475.9785689289,9721026.10187482,5304496.200235796,4018857.3944815,3617703.556429609,3309150.219666864,3049856.789986505,0.2365,1.295941981704197,1.1817561374113654,1.0504453619636895,0.9299350504895684,0.8205552513429072,0.7213662170882719,4790148.041413657,4368086.632709854,3882726.9000156135,3437288.5697295642,3032991.5888079363,2666362.399482852
Eif5b,11.714744020987402,56.589985853302764,4.456137962729763,119.8573133225152,27.458500130258496,10.804715661838902,24.951389497026454,52.329964107704924,0.004135888639676499,0.014536623865646673,0.0018277764123254762,0.022906116960147598,0.008730681261003823,0.0035175906205347322,0.0071236616852308815,0.012877026752835917,34373.72400204956,53007.97989060406,56737.111879591605,55153.842206082336,51359.871789831726,45848.42626519301,56897.26213091666,62525.545557423175,61305.90877047362,61364.72344414848,61447.312716936365,59684.011464133655,22397.48924039597,49757.181943180556,56016.6258052713,52888.98176104004,47012.37219437378,38772.5699482954,66086.10956013166,70113.74339866634,65001.48446540447,65194.39245188499,67257.05289139024,66604.10449960189,0.713,0.8139033470817078,1.0828508690569685,1.093149913324658,1.0640247102977736,1.0115027308870492,0.934568429351842,44958.903105355384,59815.194855802394,60384.09991678912,58775.26370115669,55874.02169042544,51624.27653259857
Eif6,146.00679127187018,438.30267381950836,84.96434225965737,699.2964397746224,289.3979198363386,141.735691740896,250.12510531096177,426.46881473644686,0.015677011844415903,0.06233617956413317,0.00576299033736406,0.11617777966654953,0.03502815207923289,0.012973971313335124,0.029060149011660198,0.054087472767704696,760677.4465863133,1173819.8185315195,1535397.170159177,1704037.2509259046,1747316.235089033,2080678.3822597738,875562.8731504858,1370561.5077005038,1668953.0992788782,1754688.3898241357,1929674.2097587825,2181761.592912716,696226.5637578571,1126669.8547910594,1453617.9262685662,1645306.3416217146,1658680.0235422337,2058505.508106983,925908.8684430307,1465383.4453036457,1678788.1364361732,1773127.7726167506,1962241.3034426225,2279362.0419517583,0.6665,0.5192975556713357,0.8457653940801554,1.0301723699999776,1.106178608406198,1.145832617658046,1.3527534541842874,812002.4469378759,1322485.6578433749,1610834.6285712088,1729682.1965875993,1791687.4037982735,2115240.2950968426
Elac2,31.723487490214318,239.51493628753627,16.175134568127483,1324.7942230913072,73.81029430444272,39.714316070821226,98.62090277829171,316.53951135743495,0.0033944676131094924,0.015835735090604066,0.0012948808222477297,0.03169422420786769,0.00822902647398946,0.0031850184489914607,0.007101370210292465,0.014919597570136202,901.6475241234588,7386.946032390589,9454.308854624407,10068.894195319435,9643.770653073474,8373.085113594336,4862.616178072387,9617.851232149358,10749.274077192807,11214.379811804285,11720.531467111,11553.802304078321,56.58565916410218,7012.791029536812,9207.814317756682,9490.909418799738,8192.723788462517,6004.541429328766,6837.823573445932,12476.456297540864,12112.86702660844,11542.123121992021,12268.207183228014,12490.378521508665,0.0385,0.4010192979107938,1.0209448621818082,1.16852318154541,1.1852921460680688,1.1608118417578104,1.063408670536109,3565.6383559366923,9077.668278950854,10389.851804205013,10538.952018092063,10321.286902052992,9455.232612128957
Elavl1,40.062676681160085,358.5513552214519,9.585661375309728,709.8710084408336,206.72277624811437,29.706077253311204,108.96766489413659,291.66591711962565,0.005621182473483727,0.01606240715742114,0.003474714582996948,0.025044496343214383,0.012896516671149005,0.005473882248527634,0.009137366615829956,0.015685379284410675,718875.4311494088,757639.691215554,715176.2974085065,648511.0908860422,564773.7759416853,472028.8613339436,893777.5405832523,839643.5285568839,768433.236417118,703855.175007551,639351.3700558657,584086.4787910923,603517.7250523759,722539.7149293777,707242.0493951739,628293.6468599954,538041.1607518645,410811.7414894325,949865.9455101512,894538.6928108932,826824.9032681852,740686.3774240143,686363.3091477484,628713.8835138887,0.7295,1.0995912652624948,1.1839428997538373,1.1161087803203182,1.0025029024292993,0.8699443198053951,0.7279098324286547,761122.1604946803,819509.2178618392,772555.3603972029,693918.9125124833,602163.6594596744,503849.31365488836
Elmo3,8.372174667803547,243.08688357490908,2.909502792066811,1540.1410921951879,58.39273084919542,10.744545255128452,52.872230130118695,322.60245478101217,0.005192392550110467,0.04278125719407105,0.002215371419672835,0.19671569684055587,0.016110600385646278,0.00598625915005734,0.016369382889233584,0.05115878200832296,0.18627969248392892,819.8645624529553,1469.9479732399607,1908.916340646204,1801.5300756770005,1612.687985951869,566.8887415966177,1456.1001897780745,1829.0359967778477,2158.142526124863,2377.72264023049,2570.8499522029715,0.18627969248392892,786.7072948972107,1322.1832828064028,1168.7147454685764,785.4787138026257,881.048971435078,3488.3224814475043,1905.115751054849,2158.251132385015,2169.7461325456948,2398.5519898500697,2763.1670097170713,0.065,0.1324088580636924,0.7355635584242493,1.0991879781237983,1.3260831086439677,1.3463331276405737,1.3604233691037195,206.2196041725233,1145.6002874748408,1711.9255695933064,2065.3024107562665,2096.8407153911226,2118.785501108008
Elmod2,19.12984316151543,434.27604096528694,4.894815724394121,2102.2449102352493,97.50294598746162,21.952677544239382,102.98099192598275,506.80091870403675,0.012279754192279769,0.04599436032277731,0.004572866848461082,0.07487919597448013,0.02572535890086106,0.010214718946673756,0.022269486680711444,0.04001989038306908,0.0,1501.4917556067098,3010.9930094727692,3974.511210102113,3710.695269804492,2530.4588071709154,0.0,2549.8248419473084,3926.245970935658,4100.123046647386,4360.391278492884,4073.3375706755874,0.0,1376.442979847731,2717.339201139669,3794.321112131095,3246.617545958797,1923.6870766341915,0.0,3359.145203780952,4277.227932853579,4100.123046647386,4430.231618952129,4618.461118254714,0.0,0.0,0.8262324635820769,1.2849096556627762,1.4455918161358163,1.3667559505854179,1.0765101140339122,0.0,2327.0288549464067,3618.862700895929,4071.4133332867477,3849.377354277762,3031.9192338896883
Elovl1,22.793922742629228,492.212048236268,5.76702274380955,2606.3341367966204,95.74886849536534,22.866183243938398,103.81755613017586,494.1262606763043,0.00939041647286681,0.025795621312334607,0.004373720227333247,0.03739177799727882,0.01747009721965092,0.008223835126936365,0.015060693507657461,0.023663106829270256,0.0,31956.029767225587,53074.326641732165,68731.34813872048,66167.80933173047,57305.12776132706,0.0,43327.223942722405,63055.05620080301,70336.40171257475,73622.3510058888,73700.23475880876,0.0,28222.792626919767,50335.36068814782,66798.46507829783,61870.517527048505,50728.12984845551,0.0,49889.008790591484,68698.9722074407,70336.40171257475,75926.88106984849,80864.03595927879,0.001,0.0,0.8021806220703002,1.2061543135333865,1.3855644838707026,1.3532186136955362,1.2528819668300748,0.0,40381.516637356624,60717.42340704344,69748.87415399554,68120.59336698621,63069.678568923286
Emc10,20.05575126479025,428.13422319213606,5.558751539396658,2256.720311229621,96.96055018154196,22.006933126070216,99.45010034081717,479.68378430525536,0.00436087255186229,0.020089425156278644,0.0018381200937086148,0.03688433148872411,0.010046854297320567,0.003882130084169399,0.008944408073903143,0.018312902575745537,0.0,49768.7135230479,71246.721247864,86755.04826739164,89061.77829025663,80312.8663245455,0.0,67642.23595128485,83445.47092012111,87937.33162539848,98358.11519375887,103292.40999692676,0.0,48559.110110186084,70618.63816381681,85576.91385942599,77717.02830534622,60369.67238664707,0.0,90686.3981329235,94144.3992192724,87937.33162539848,98973.55605717996,105675.40508666518,0.951,0.0,0.9262935545242311,1.1776153271964815,1.2872364531495333,1.3418815569217761,1.266973108207978,0.0,63107.953041050925,80230.38960614218,87698.82640478273,91421.77214475749,86318.29405110238
Emc1,254.0930641893203,656.1468990920866,142.59764185989158,1025.105082133324,405.1912587954264,248.36090575278521,400.0199702563364,643.1723697224779,0.018842361480051036,0.032173455421469335,0.012933416341505664,0.03950835866865565,0.02497736108552308,0.01784101328963518,0.02424096369789705,0.030812330801504775,30097.056969562374,81681.44911448414,89429.25337530964,93948.21440371222,79886.66480183974,58265.666757673825,49312.68659846168,92370.08212595402,97980.82917978254,102016.93477003217,86751.72113637987,69632.54530076166,21465.158458144124,76402.9107930654,85072.43144166782,88798.28214138854,75608.67242917059,54258.73588751492,58901.787657558096,96769.46652247061,101254.17195767119,104680.95300886099,89722.70157760751,76651.33388864063,0.01,0.5233497747204118,1.1231876208721097,1.2065351197346517,1.2558108594771016,1.066860144026082,0.8242564811696446,40663.56451886933,87270.14798569099,93746.13510022442,97574.79294822403,82893.57977156078,64043.60567470175
Emc2,165.33513189245897,389.4754287365038,93.47936275211991,555.2418768415672,255.95168310227947,153.04094182554363,242.49165080318528,365.01411685040074,0.011321525448684004,0.017713510014985334,0.008160104078354885,0.02090427475004059,0.01427772039201048,0.010577406806906851,0.01373414481428212,0.016873216070029503,155813.88218179301,268353.2502112619,297449.8873444679,286181.51527849305,252629.7342023669,206251.55345456218,215788.09666993047,283862.34309486,325074.81329141965,310177.9116736236,269656.7719219892,227916.40004712038,127141.31075419152,260051.4278674725,281837.0352174719,273445.61827993963,245204.16658705828,196863.24473090968,244926.57214183855,290608.6709397666,335784.51155080716,320691.07379248936,279247.89852053823,238840.3989056303,0.326,0.7018800380190986,1.0725411345025369,1.212348527600409,1.1632285915054905,1.0127362084562441,0.8372654999162208,180926.2893053337,276473.0111723117,312511.69510758814,299849.8621914525,261056.8677209699,215825.11520165936
Emc3,71.94797742714792,272.7310991260256,35.13458844591704,661.475904546105,151.30267016531397,79.38333268055786,149.02071255835418,305.34507736035374,0.00985607393205069,0.017911705759344847,0.005586783505995979,0.021233813832595927,0.013210250172341599,0.00863090970289144,0.012667235007434477,0.016440296731310935,25911.32498465876,103352.98713030187,127374.31584693801,136837.62506420532,137454.37510387244,123307.03544039461,61123.17370177276,112400.67492324744,138963.79607707547,150022.4497070742,148721.853257032,135982.7750788699,9143.767753303066,99334.51037192742,121151.73926559447,131919.43844020567,131830.95867221119,118385.82426599757,74551.44224792003,117112.71455768305,142594.45400102864,156077.53067553413,153748.20049737414,142963.75485405346,0.831,0.3687805915219336,0.9305469928963234,1.1382684348895153,1.2334705213378931,1.2209438873769884,1.1079895719773458,42981.71348275249,108456.09869500918,132666.22175796475,143762.11155465172,142302.12096895167,129137.19273584767
Emc4,16.764570495799965,105.91753662406727,4.338269837087885,185.62218864526335,56.19341024019348,13.581353841898835,39.06453144909368,89.79390871880624,0.004117079007946027,0.010846690462482447,0.0022391635805123545,0.01618473606821503,0.00792347199299328,0.0037359812423230863,0.006379927410772564,0.009970279198898355,88442.99189445071,109169.35556585756,107109.30172780831,100278.85468730752,89607.65448186151,77875.91506657553,120600.46130457215,121687.9330570184,115657.25969417699,110449.62717784867,102767.70983418834,95730.7031514575,68098.341554404,102434.68790320287,106024.98527636242,96695.63951758062,83436.90520184669,70173.25138918195,133764.43595334905,127490.29756419962,124295.38403573431,117090.43890659585,110478.36213573108,105547.46072598072,0.8565,0.9847312840511987,1.1191984051906452,1.1068687541023343,1.0305314050436318,0.9281395351730802,0.8305306164391091,102229.83042742613,116189.52807772956,114909.52594882205,106984.56776383902,96354.76076618773,86221.49560848255
Emd,18.61823129634817,204.0419221361826,4.6311544213142275,665.5194699762693,65.69044179400973,18.59059021334499,66.44486409275966,203.8450735826544,0.004701437277326006,0.023649326059375458,0.0019412950732436197,0.057889590514205926,0.012588868024163818,0.004740183091887831,0.01078644884413102,0.02384987808268513,22331.46692953958,35262.84809285847,36914.438851156556,32248.878866976742,27485.092637173995,22727.153486795567,51596.78326152101,47586.862027922965,39151.705497068186,40157.33816026752,41315.68714715715,40476.97178652723,6349.968078574861,31783.22415858,33815.71862595717,24796.036235658667,17842.90035187615,12940.091269755752,75069.00387455961,53230.04988685573,42852.76163200551,44391.77701076939,46703.93613369222,47213.29707774124,0.634,1.1092848989471886,1.169480687395478,1.0639956303629328,0.963457919387467,0.8883788371686192,0.8054020267383154,40470.54250172031,42666.692667591306,38818.2336396322,35150.27087468342,32411.126773098844,29383.846282429626
Eml4,2.9992631288565206,13.687175980923008,1.2201950119464389,23.989844271068637,7.35875764170706,2.6443007172122734,6.070542966698249,12.286305602015007,0.005495252838051921,0.007272338455199481,0.004756150563319152,0.00844125059556722,0.006420399402551618,0.005488211129437231,0.006318629908408143,0.007266530633082637,140958.09774138127,131270.62954756294,119791.63224867484,107230.02759459002,94373.00036857248,83132.13929107787,150441.51492528382,135815.0560998156,121200.36001374756,109943.46937593193,99179.82799540217,89856.67489526377,136701.46543197182,129820.03368328365,119418.95922832405,105715.0559100048,92394.12121460748,79962.49499443611,155160.43614359078,138203.07738016555,122614.5961841371,111044.3966874208,101530.99289721264,92467.0397583398,0.001,1.2647814696735082,1.1616443641582963,1.0475734736932223,0.9398189467638064,0.8397611603234141,0.7464205853877531,145872.99964964107,133977.7281601171,120821.41352092382,108393.59381774656,96853.4742031455,86088.08114405697
Endod1,304.63955456191525,1028.465696006814,203.56989382771226,2793.23580903635,466.5011075622405,340.05579831482476,578.4635976807078,1222.0201938889172,0.001786219167789966,0.005964319860664277,0.0009173301265343393,0.009754213259990688,0.0035810903705889453,0.0016933286585512574,0.003256311220126181,0.005681317867881923,3248.363892115223,50520.463393913495,85759.75080788421,115197.42358995555,117421.63563530847,122190.86959800842,11700.418330438659,56820.782157793525,91310.18831385946,119604.5457654832,123203.17308776992,133641.89907053194,622.8664984025006,48324.292240271534,84869.55318568452,113277.29746191874,113409.9264173507,112646.47544865847,16113.96033807086,60887.38781437912,96099.3053926944,122275.1437395872,124731.61073267132,135388.3727481694,0.0835,0.11146508252247568,0.639320240437042,1.0436325535253814,1.3637234816952175,1.3874191711252732,1.4544394706946098,9565.093531258823,54861.645977556545,89556.6823334465,117024.47401461781,119057.85954268614,124809.03667696429
Endog,29.3689061904507,76.24852712565745,18.127444134067346,129.4898885497747,48.785744968714326,30.183714686941798,48.220694673539555,79.33613276859975,0.003156477693419942,0.0104270448290178,0.0014335397965011898,0.015688203112559848,0.006468450697186958,0.0027552088682916104,0.005473998740026751,0.009399742909799757,30123.745383442998,69956.24006568924,87435.99246674737,97294.40598163776,98263.24001811784,95913.38052477784,50111.06050221852,79529.16081241239,94255.34242329824,103710.22511650009,107757.50253646406,110591.11421827387,19916.81337888086,66264.78649215492,85895.01461062963,93560.82930125846,93060.10553781324,87597.08138111673,58130.17186110005,86127.27944694931,99016.4770061438,105707.79631730779,111731.367759659,117164.89254804586,0.84,0.47616662598316734,0.8946837029020798,1.080976247917042,1.1710339482008572,1.1925044102359803,1.1846350647608732,40683.01108387006,76440.52526060471,92357.09996391872,100051.50402104772,101885.91029248094,101213.56441245301
Engase,9.276077135514047,135.6704422535409,2.975693866975019,744.7945797276093,43.29898568500492,11.01045052760949,40.55198249374597,162.46747711851154,0.003987748496114296,0.027691827372377048,0.0019765065329036442,0.15624366914969473,0.01164864072395101,0.004864624407862349,0.01188304826694247,0.036739867119826276,546.2192863069172,3423.703161879257,3534.9232349846584,2918.4854231050585,2094.9802024518613,1443.4835084863653,5162.438117956623,4864.563162610194,4299.741050532038,4244.645404596839,4008.305500143124,3764.0157636868125,12.843371764203349,3009.742818717231,1168.8591876314822,370.6354438326183,67.81747694204884,10.290348540876149,14637.018778481028,5718.841731318347,4980.6113693974185,4330.622688737382,4017.3570318053658,3870.5004670142716,0.266,1.0469304090083202,1.2557386846682694,1.1616855084624602,0.9916294088434097,0.8396045269310342,0.7044114620865068,3589.4831174014766,4305.398687152727,3982.9299870138857,3399.8792958300037,2878.6500504532096,2415.1300116104585
