,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep27.0,437.34201335613045,1157.681983650076,1233.8085303305188,1823.9642756264661,454.0146528707432,562.47945637069
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep28.0,132.30209660134682,2108.1805740418704,2267.9931092711386,2133.5262363808297,1161.5481075688742,199.73313883554806
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep29.0,835.5722688000709,1304.446386013303,2233.72123818894,221.33169465032634,641.5636767902611,439.8597532882839
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep3.0,769.4986461376911,1216.6618277838113,1432.3889017798058,1170.1306298559648,964.4521675280796,421.63005904730295
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep30.0,410.5767092740449,2604.540955255923,1184.2230933979718,923.8420568901676,1090.1352370790105,335.1311087863819
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep31.0,752.3514480529956,1842.8816631422746,1574.3974376190474,755.8662615064596,534.6521351899418,247.8280337332777
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep32.0,557.2760706127702,1111.58452805637,1594.6036967451378,870.2971708208438,1140.8802396540666,1141.8428602385143
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep33.0,617.6205730515662,2673.3703094349416,1349.7981551494531,1258.3365789902934,1223.3737600425382,571.2486550951371
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep34.0,320.3937727680832,1488.6226276058262,1849.3139622612957,184.13998488011805,1090.181334389013,489.7523274241755
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep35.0,414.3481236900778,419.7620526027361,1178.0466536270362,622.0864224522292,1340.1185795825372,835.3962320907505
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep36.0,724.3437198086689,1077.7506630586333,1922.6718131242155,960.1274537130548,649.0211754028004,555.5939885952649
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep37.0,433.5481301588552,1867.5187659731444,2990.6346582479705,2693.9324735779937,995.1926219725688,314.3778105074533
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep38.0,831.0301107783407,1010.8719152890195,1818.93313935515,823.35084596888,284.33611217657756,749.87009045873
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep39.0,452.99774125679346,1445.845846616906,1979.6588720484554,1134.5649511562112,1269.379699694748,467.40678234269296
