,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep57.0,10823.57659759332,31719.86643271376,36130.416136281,30229.900832401137,19298.563487543055,10119.008703026193
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep58.0,10739.02631012363,31751.594606335777,33252.87846514205,28133.48566369243,20071.94144016875,11194.843091969613
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep59.0,9833.043968805603,32536.144423244477,32935.53466806257,26564.03459025638,18796.03368537035,11270.774968839787
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep6.0,9850.50139153298,32686.984168923496,33462.97082770465,25826.493053583406,17766.696072072686,10861.304716426184
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep60.0,10003.294100832998,32089.10152910943,35448.11694745009,28102.839005470865,18768.042210589912,10951.399023681766
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep61.0,10070.314281311927,32142.2045291997,34533.933819299826,27745.60312414889,19975.47242829392,10414.112319675965
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep62.0,10314.608835770272,36136.28497286304,37449.27911672629,26879.091775333378,18163.111885537845,11801.91119476965
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep63.0,9561.662012604564,32200.135665704074,37140.138588217014,26110.58278200417,17887.884212684705,10401.86716024463
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep64.0,10038.025965923283,37744.018634210006,35053.68158927408,26873.419480409088,18095.000006823633,11168.391943357095
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep65.0,9541.753625269212,31830.957188709042,35304.466275011844,26168.207196592954,16944.60184636013,11604.051708748055
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep66.0,9882.26540352025,30508.183722819333,35371.54549038161,27254.24114325998,19655.33575064498,11438.931360205972
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep67.0,9074.523349008103,30936.192402773726,36419.99288260913,27209.440357781918,18855.45006302767,11137.903613772683
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep68.0,9969.520720229008,30299.30833398253,35093.22396100504,27422.134037109125,19131.80651148821,10248.090173150369
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep69.0,11242.371044112297,36628.20720479522,30890.431609736046,29281.166319034262,17240.750319868188,11579.336960946257
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep7.0,10436.4206291586,31468.269768379618,33787.18509260636,27577.215484973178,17865.872576067915,11378.830085979815
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep70.0,9137.789821789076,36821.712571490905,35912.231781266,26497.70321094015,17887.356415314815,10395.188186194437
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep71.0,9396.022017703172,32347.94560540341,35925.45779882173,29333.195659077057,18954.531873237185,10176.715833672015
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep72.0,7564.175709673013,35948.494114326124,34284.57686471056,27607.00572206352,17572.157779644967,10127.643735696241
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep73.0,10930.475610183525,33677.992474167004,35254.19903446289,24260.788186926402,19238.784429695665,11158.018041042991
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep74.0,9189.505829942713,32263.036488492107,34178.06228771538,28718.58339662397,17616.15787622756,11008.72803002413
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep75.0,8968.452466266996,34559.393431626246,35592.76399939098,28825.448752928525,17140.12644044387,11341.28720793656
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep76.0,10378.042775273347,32240.680611597076,33325.66431321233,26887.92387819126,16662.16095809088,10970.715453911223
