,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep49.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep5.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep50.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep51.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep52.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep53.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep54.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep55.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep56.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep57.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep58.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep59.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep6.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep60.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep61.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep62.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep63.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep64.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep65.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep66.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
