gene,M_mean_scaled,P_mean_scaled
Bcl2l1,17.511842010685157,13389.474566862795
Bcl2l13,6.15855382447355,100064.08402729397
Bcl2l15,4.575489937132649,36588.81555555988
Bclaf1,14.26462701550364,76331.27098378395
Bco2,16.164724381438713,78185.57386345719
Bcs1l,1.808162118571082,22497.44593405712
Bdh1,30.234031830266293,799596.3891784468
Bet1l,18.386728103882756,16800.14256474109
Birc6,29.431537737247307,624.768994483048
Blmh,10.82722766111136,15090.37281344638
Blvra,8.505983939330502,338579.4628491135
Blvrb,24.45841554525342,20510.678371541824
Bnip1,6.972289134355939,140279.43873427136
Bphl,6.126516752037479,78468.72943375695
Bpnt1,310.86850439089886,3339411.5434884317
Brca2,0.3732666479807593,918.7539542902092
Brcc3,7.630222298433619,12842.465542814782
Bri3bp,40.13107238124495,398354.647207401
Brox,23.50439418252697,116657.39837733458
Bsdc1,14.863945350029786,12518.876838858021
Bsg,343.16694987888445,2393283.035493395
Btf3,178.07181352808507,516555.4297905
Btnl1,32.96634321873592,292094.3067658465
Btnl2,33.87817730311247,196113.48239111388
Bzw1,41.427286513283285,158216.0949198151
Bzw2,5.986069406082322,24246.08653048681
C1galt1,25.67253665729739,74059.6355246917
C1qbp,16.76262120630086,378919.2932609104
C2cd2l,47.75909409385531,84345.91285518411
Cab39,71.55814279230206,51987.19792807807
Cacybp,16.63040011333813,201098.6174702148
Cad,0.47393880841344155,3772.464522720407
Calml4,290.8626320437033,619200.4652311058
Calr,184.49688048116525,14961560.756800847
Calu,30.25770418109569,1044297.0974987118
Camk1d,19.888881584492896,15836.398819428354
Camk2d,85.50159413952265,401383.7726332757
Camsap3,14.046028896650556,3964.4957283633885
Cand1,14.726126473132217,93328.79304867821
Cant1,33.69670459786055,22939.528494000977
Canx,142.8577856803527,7626136.345269739
Cap1,11.202579250797982,2766976.0980636324
Capg,3.383666532554281,27762.94417457194
Capn1,29.42486689763375,436840.65160891553
Capn13,1.4675713246116515,5080.485831592703
Capns1,52.318619360582495,326123.7762123172
Caprin1,64.76526242002929,600178.6347260069
Capza1,67.74758817347366,1231650.0059911786
Capza2,107.27847032441268,1696291.8526808044
Capzb,117.96484466785154,1838124.0476100724
Carhsp1,40.37155401902741,50869.94880509921
Carkd,24.087057938189446,65372.89860264043
Cars2,3.1266313523475566,4553.381518577967
Cask,16.998290527166834,83230.53282244668
Casp1,39.747638485059376,532528.992264751
Casp3,8.703371405421434,723948.2329589427
Casp6,94.3114950799225,814069.7127710264
Casp7,138.10579664799573,275475.64406717644
Casp8,56.291392852097545,343613.6182766746
Cast,47.91620088790014,599184.816919654
Casz1,84.08800366294814,36322.165753917754
Cat,198.2256065701587,3255044.189228973
Cbr1,143.5581431932209,2126986.48099207
