gene,"mRNA (scaled to molecules/cell), V1","mRNA (scaled to molecules/cell), V2","mRNA (scaled to molecules/cell), V3","mRNA (scaled to molecules/cell), V4","mRNA (scaled to molecules/cell), V5","mRNA (scaled to molecules/cell), V6","protein (scaled to molecules/cell), V1","protein (scaled to molecules/cell), V2","protein (scaled to molecules/cell), V3","protein (scaled to molecules/cell), V4","protein (scaled to molecules/cell), V5","protein (scaled to molecules/cell), V6","protein SEM (scaled to molecules/cell), V1","protein SEM (scaled to molecules/cell), V2","protein SEM (scaled to molecules/cell), V3","protein SEM (scaled to molecules/cell), V4","protein SEM (scaled to molecules/cell), V5","protein SEM (scaled to molecules/cell), V6","mRNA (mean-normalized), V1","mRNA (mean-normalized), V2","mRNA (mean-normalized), V3","mRNA (mean-normalized), V4","mRNA (mean-normalized), V5","mRNA (mean-normalized), V6","protein (mean-normalized), V1","protein (mean-normalized), V2","protein (mean-normalized), V3","protein (mean-normalized), V4","protein (mean-normalized), V5","protein (mean-normalized), V6","protein SEM (mean-normalized), V1","protein SEM (mean-normalized), V2","protein SEM (mean-normalized), V3","protein SEM (mean-normalized), V4","protein SEM (mean-normalized), V5","protein SEM (mean-normalized), V6","protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6",beta MAP (proteins/(mRNA*hour)),delta MAP (1/hour),half life MAP (hours),beta HDI68 lower bound (proteins/(mRNA*hour)),beta HDI68 upper bound (proteins/(mRNA*hour)),delta HDI68 lower bound (1/hour),delta HDI68 upper bound (1/hour),filter1_pval>0.05,filter2_confidence_intervals<4fold,filter_passed_both
Eno1,312.86517281167215,333.4774135239818,275.04519333764097,192.64383325903884,109.41989292153387,83.24284449877845,8900654.131202143,14342608.547494672,17271095.61958531,19959561.835043456,17521300.016808916,22572861.95814977,1161111.7822080082,1996312.4395007116,1465744.3163682297,2186420.8636216973,1951887.731506336,2697371.6120187817,1.4365953571035364,1.5312413959729028,1.2629358652851577,0.8845702893276404,0.5024276391430208,0.38222945316774276,0.5310226034708653,0.8556954600397936,1.0304121501087635,1.1908089375843407,1.045339613692341,1.346721235103896,0.0692731784001494,0.11910214837454473,0.08744788320354115,0.13044422153347945,0.11645172249012492,0.16092809301749147,0.5463666949514886,0.8576489943839347,1.067734896645722,1.1756519805686694,1.19332791838479,1.159269515065395,8945751.48464517,14042427.614471884,17482198.540165424,19249142.65049045,19538553.678692125,18980909.856558766,870.7633040180052,0.005579598720892668,124.22885860312373,638.2452647128397,999.230442548904,0.002551958628995039,0.012642790443544868,True,True,True
Enpep,370.6884390738953,371.43007818907836,292.548069277309,198.63840798562848,90.70868446655041,30.699488751322555,235515.3755145816,1575449.9330497824,2362525.33527276,3080648.3843283327,3098983.1624311567,3050576.0192357018,63230.383622619054,220549.95661788867,247213.82305165948,288678.25452421035,203422.35667823086,192577.49107472386,1.6417723599362104,1.6450570660991461,1.2956900821944548,0.8797658990048148,0.4017471150042268,0.1359674777611465,0.10542554979721284,0.7052307094891649,1.0575552947945621,1.379014210601302,1.3872215476283507,1.3655526876894069,0.028304300484579506,0.09872646481525689,0.11066221538932373,0.1292232561514029,0.0910595061871849,0.08620493600794062,0.10286388825844034,0.7099615435172595,1.1146708184871126,1.3371419591651794,1.3968462513062077,1.3385155392658006,229898.9894689259,1586751.620805313,2491269.765312032,2988488.8700321,3121926.9177529304,2991558.7975103813,173.85481143497822,0.005430491674313256,127.63985696518007,151.07413770829413,185.9196982432397,0.003427270399330577,0.009884789533262058,True,True,True
Enpp3,1.7209305435185485,13.156923750566811,20.00328678819207,76.02210675993189,154.97761785540675,197.77555253255875,41049.01715238729,114710.61854081806,209935.3898524947,500220.2565663882,537334.9018570522,775560.6010779242,1690.9319398552504,18044.0933545059,44071.104318861835,52087.48388532711,65083.42998253829,62536.92524088572,0.02226990257252369,0.17025870752469902,0.2588548675488636,0.9837729461412341,2.0055059534856334,2.5593376227270457,0.11304061123830152,0.3158896201397503,0.5781191959207964,1.3775044441656266,1.4797105986753556,2.13573552986017,0.004656481282706864,0.04968974858672585,0.12136282220002832,0.1434382946223629,0.1792264764683522,0.17221392239308617,0.12382258594313975,0.17238016804811418,0.27147537522209564,0.8903604582946671,1.91256400005844,2.629397412433544,40982.659558582185,57054.19320681256,89852.61288578276,294690.49825425004,633018.2712739399,870274.983979618,1045.0717953004885,0.21023349690554172,3.2970349195655415,431.31167886486384,2171.9881213551057,0.07667852534676127,0.6625914084120899,False,True,False
Entpd5,78.47443278444581,81.97775567660857,68.76129833441024,52.861249861744746,27.253281880084646,9.445996538868476,132895.68682500144,632850.1966174529,940816.9175499444,909034.3641636644,878212.5031509296,925961.8169977687,47480.620940320325,175604.08457960773,201701.94306472284,242051.05007753015,189982.29604306354,258762.22046228673,1.4770545102121284,1.5429944437037413,1.2942328122569509,0.9949603297956698,0.5129643055800494,0.1777935984514599,0.1804107120925114,0.8591170815798166,1.2771930684806496,1.2340471001988687,1.1922053066375309,1.2570267310106236,0.06445666401286311,0.23838891014633412,0.27381769903990594,0.32859307439172697,0.2579078533920586,0.35127909393864604,0.1878317409933137,0.8406647807845166,1.2037006616925212,1.3474945766548505,1.3029027840928995,1.1174054557818984,135597.20017202751,606882.4680790746,868960.9046243834,972766.8543938664,940575.691227958,806663.7217953877,319.38202100352316,0.014179762812645463,48.882847316867604,212.52004681005292,380.84857429984635,0.0066704530854904505,0.035598195350716434,True,True,True
Entpd7,66.77210508851968,72.36308062811744,73.76212003145827,59.40078592711523,36.2021207063811,31.289863535001835,0.0,17097.5384713719,53933.74829883463,65469.217543242834,55164.535851160515,48747.737621580505,3078.6091209673323,9872.141536947829,15042.669065736514,10724.624082392758,9961.114251088775,12562.344725071476,1.1790592454779616,1.2777844750100358,1.3024886586075148,1.048896777227173,0.6392556452755397,0.5525151984017754,0.0,0.4267045694196209,1.346028662756027,1.6339202469878902,1.3767455214103654,1.2166009994260953,0.07683308223422151,0.24637978799265542,0.3754210372074636,0.26765525978649857,0.24860028679376506,0.3135193937880552,0.00022075937277612706,0.7213926862920985,1.1726904036390149,1.4066805764126378,1.4068616545145376,1.2921539197689338,9.003534499151101,29421.554594888647,47827.45291043464,57370.597405441375,57377.98256384707,52699.69853851214,22.10923346464639,0.01711438038926923,40.50086329707564,14.641285452588642,24.758541946804968,0.008655521070432437,0.03634846264343375,True,True,True
Entpd8,31.320935892037586,48.5794107713236,56.2592440917902,64.85039931492398,66.7095257960281,123.97870457264877,0.0,0.0,4730.425080597418,17669.568447957714,11471.079094645043,6895.40134154811,1520.9568717623356,2221.4765511956703,4730.425080597418,10761.998983030837,6892.4409349886955,6895.40134154811,0.4797714300098804,0.7441352791989981,0.8617743123076633,0.9933728967512268,1.021850837943122,1.8990952437891098,0.0,0.0,0.696222844981088,2.6006029066782177,1.6883107091230432,1.0148635392176508,0.22385407279680977,0.326956393596851,0.696222844981088,1.5839484659385041,1.0144278272801444,1.0148635392176508,0.0006918983969965397,0.4813196364055176,0.8781505091159405,1.207313290958869,1.4748754632704515,1.9576492018522251,4.125488471706483,2869.899135214862,5236.028609846756,7198.682762107538,8794.039337766286,11672.60865026566,3.8030567933955406,0.018976627535604317,36.526362719584874,1.812973691167298,5.652717938406927,0.008540762364739609,0.21990786654010905,True,False,False
Epb41,19.61860819611145,8.096568461887266,7.501232545572027,7.0844974041513575,3.2541232095623465,1.7711243510378396,26562.411096765885,26900.63245710835,24083.791361057592,44754.47743120368,45474.29533320708,35074.115444487325,3982.9630054932745,4570.891233441089,5546.433522648172,13905.467735117072,9896.006742830265,6541.0138545926075,2.487243074051829,1.0264812686563105,0.9510047047845231,0.8981711100742718,0.41255706491449806,0.22454277751856797,0.785677515977209,0.7956816122648632,0.7123635464768844,1.3237723988575496,1.3450635662572898,1.0374413601662038,0.11781025709545194,0.1352003196174179,0.1640554427356751,0.4113035262058048,0.29270949717163475,0.19347368348931793,0.77078260060269,1.0047555194133129,1.0557528724889935,1.0851602706134484,1.0714504976285115,1.0120982392530429,23569.19002776845,30723.674548419644,32283.084821321598,33182.311858978595,32763.09086921199,30948.202137765766,31.48421301173435,0.005284799494857577,131.1586525154679,17.586928795207104,44.10611477269785,0.002395268864011113,0.01275653851581855,True,True,True
Epb41l2,5.851163847963065,4.048284230943633,3.750616272786013,1.9073646857330582,0.8135308023905866,0.5903747836792798,79518.48034818009,46079.10755049563,37363.158915242464,31366.107126558945,39644.26149129464,35833.55359797123,13055.094429684825,13995.309762287676,5958.2299864452925,8389.914653010974,10216.233431477529,6866.331828851107,2.0698243308723208,1.4320633325643228,1.3267645581110636,0.6747221470735753,0.28778306204641896,0.20884256933229706,1.7683566552233545,1.024721500547848,0.8308935286317877,0.6975292289645553,0.881621395964596,0.7968776906678581,0.2903232433293208,0.3112320438178521,0.13250096837549827,0.1865775269905224,0.22719177102938795,0.152695619098293,1.3940471911585837,1.2261224746260737,1.0624554028709012,0.9108229353630912,0.7667234189211255,0.6398285770602247,58544.446957537635,51492.275609072334,44618.90843625603,38250.946858374504,32199.339315639747,26870.259794065987,32.77337287253573,0.010153264167691998,68.26840798307614,10.157045836935174,70.48906372017845,0.00699091709509174,0.020961211834296,True,True,True
Epb41l3,202.72561802648502,232.27030775039097,181.2797865179906,124.2511852420392,60.20127937690341,11.217120889906315,722391.594301674,2094851.6178583815,2870110.236048477,3425386.4985808637,3405757.6109023206,3416910.9228423345,33909.92275560891,204060.44934571465,152557.46905226784,183206.16447945105,220623.57098453125,219905.87073676492,1.4980734680638037,1.7163986912320885,1.3395960565940557,0.9181740610713635,0.44486700919196764,0.08289071384672031,0.271994883037023,0.788753531012658,1.0806539058805311,1.2897265242112201,1.2823358554238384,1.286535300434729,0.01276776411362094,0.0768328403736818,0.057440938237118266,0.06898078503726357,0.08306918693199537,0.08279895843475552,0.2739309973200144,0.7612118085728968,1.1039275148321357,1.283945914218898,1.3243798525637225,1.2526039124923327,723380.4698402714,2010162.2712311891,2915185.25527059,3390566.9959363267,3497342.5036500525,3307800.92653743,294.28116083416955,0.005761667327153442,120.3032284237062,263.9033206218747,317.7363041755505,0.004020214886379815,0.00975574386519857,True,True,True
Epb41l4b,141.11630456852097,116.89420716849743,106.26746106227036,101.09032834385208,61.42157558048929,51.36260618009735,15927.07357425835,25033.810362360786,28760.868864970103,40859.716836701344,60168.68256686311,54156.9701412966,10164.62823890842,18769.629320241307,16910.439479489934,17530.922905400163,8911.157788328164,18591.954761461493,1.46448878530911,1.2131146431966013,1.1028314938150918,1.0491038056548696,0.6374260500136991,0.5330352220106278,0.4248973551773264,0.6678439553496665,0.7672732254516982,1.0900424071166699,1.6051607954196765,1.4447822614849626,0.27116868864430205,0.5007301447215609,0.4511312750720497,0.4676843326925485,0.23772900641006692,0.4959901998876363,0.2689320887797324,0.7982638895875942,1.0809357143720149,1.2604272335798263,1.3171817095143157,1.2742593641665159,11225.077387285908,33319.09545177301,45117.661858659805,52609.53909283923,54978.43968529061,53186.88461144637,9.222584673813763,0.01071212039210041,64.70681388822914,5.929724661843407,11.87043355218122,0.004601710848927265,0.03285512667862059,True,True,True
Epcam,1180.902538962428,829.8982673434448,781.3783901637528,744.144708105283,888.782401611716,1475.9369591981995,3524677.37318041,4900281.155868839,5896498.989994152,6980687.404408872,7477039.328098365,7750412.1201830935,938565.5221724522,1153814.4346424711,789912.7921789233,1196253.1802377906,1635919.7253429145,1871529.2661718384,1.2007055219095244,0.8438151323630312,0.7944816077664839,0.7566235405902471,0.9036867160340225,1.5006874813366915,0.57892958969146,0.8048730305151629,0.9685021860066555,1.1465805425340747,1.2281065334547243,1.273008117797922,0.15415974147998618,0.18951445664512442,0.1297434744376454,0.19648503663677602,0.2687004327168708,0.30739938877945183,0.5571294360573119,0.8722827070907883,1.000815264979999,1.0770019868012328,1.1538757245663138,1.3388948805043546,3373558.5464773206,5281890.690025912,6060187.583179357,6521517.302798902,6987007.076364496,8107344.495966553,122.9881703443837,0.010438528798992836,66.40276555320935,72.81113639321309,172.3270303039316,0.003983186196573887,0.038350423366179616,True,True,True
Ephx2,158.66979611241018,371.93611371794634,386.3134760969594,309.53804042753626,213.9586010287243,103.31558714387396,609735.5126754857,1603360.8714095391,1901712.5969503976,3094597.5316854464,2894259.3872483536,3651604.09162392,52269.17602511935,249527.87358996185,418318.17986949394,313867.76887332305,327617.70902946097,514179.74611343007,0.6166996696287017,1.4455988730857177,1.501479165658779,1.2030771573812271,0.8315898917217636,0.40155524252381036,0.26596446876643204,0.6993803272736069,0.8295202921262939,1.3498524711954543,1.2624656829057876,1.592816757732426,0.02279962925790547,0.10884317374030465,0.18246890688085032,0.1369080079410222,0.14290568308569396,0.22428338219214156,0.27030394298680555,0.6263873378096737,1.0216724398271388,1.2917788806685482,1.4085505910375518,1.3813068076702821,611485.3301556697,1417022.1264015234,2311241.568566916,2922280.1066290275,3186442.689974392,3124811.425247195,164.3544326908248,0.008685361040906697,79.8063750367233,126.59676768412056,185.6860925422514,0.004434590783067827,0.020389758501737642,True,True,True
Epn1,167.61863493870663,178.1245061615199,141.27321294160654,107.90234507861298,67.92982199961398,40.73586007387031,8337.248258054891,68738.37908702179,56585.151634346934,61855.74467320032,65253.36581462293,58593.87039306919,7220.268789133096,19107.072898942333,14012.938773001579,14715.349806810564,15733.72238526491,27886.518108529282,1.4294117898490324,1.5190033570039392,1.2047443068751165,0.9201654951081553,0.5792893402580267,0.3473857109057304,0.15663483411583304,1.2914122588690724,1.063085272901902,1.1621057699268365,1.2259380809487632,1.1008237832375927,0.1356497454618729,0.35897134178216256,0.26326604081434757,0.2764624855352428,0.2955950116346305,0.5239138865485491,0.17402437221883987,0.97437115403909,1.307870677108783,1.3440210564140884,1.2100870348046553,0.9896257054145446,8733.296166310509,48898.161537007385,65634.61097311469,67448.79346360332,60727.40459981071,49663.70094592715,13.850654516851149,0.02314732906403224,29.9450177876894,7.986399876921931,18.659444743319455,0.010305483574998959,0.07293932770010053,True,True,True
Eprs,33.73023865296356,6.578461875283406,5.000821697048019,3.2697680326852425,1.6270616047811732,1.1807495673585595,305906.95341958397,365341.97092167905,297710.47411285585,303523.1551025382,325157.86564038205,300373.92682453326,11464.55268685952,37689.06559121937,41829.17545666095,24164.633345256483,24228.710399381293,26408.519408694458,3.9383702580110462,0.7681065900433353,0.5839000322501372,0.3817807903173973,0.18997704398569054,0.13786528539239346,0.9670325855886038,1.1549184705188527,0.9411218879463796,0.9594969260545994,1.027888539373621,0.9495415905179444,0.03624172613096535,0.11914261555573408,0.1322303244261744,0.0763892013648094,0.07659176164869488,0.08348257050021572,0.9593717031439732,1.0939870435103844,1.0630541688436579,1.0182630265093109,0.9626281152498312,0.9026959427428416,305910.3763182466,348834.5414721127,338971.12013198656,324688.7776756468,306948.73324443673,287838.44118026487,147.34061591007745,0.003998758503240213,173.3405955869265,60.98812018894973,200.80712785588764,0.0017454645586288218,0.007212887953537847,True,True,True
