,Pzero_mode,beta_HDI68_left,beta_HDI68_right,beta_HDI95_left,beta_HDI95_right,beta_mode,beta_p16,beta_p50,beta_p84,delta_HDI68_left,delta_HDI68_right,delta_HDI95_left,delta_HDI95_right,delta_mode,delta_p16,delta_p50,delta_p84,model_HDI0.68_left_tp1,model_HDI0.68_left_tp2,model_HDI0.68_left_tp3,model_HDI0.68_left_tp4,model_HDI0.68_left_tp5,model_HDI0.68_left_tp6,model_HDI0.68_right_tp1,model_HDI0.68_right_tp2,model_HDI0.68_right_tp3,model_HDI0.68_right_tp4,model_HDI0.68_right_tp5,model_HDI0.68_right_tp6,model_HDI0.95_left_tp1,model_HDI0.95_left_tp2,model_HDI0.95_left_tp3,model_HDI0.95_left_tp4,model_HDI0.95_left_tp5,model_HDI0.95_left_tp6,model_HDI0.95_right_tp1,model_HDI0.95_right_tp2,model_HDI0.95_right_tp3,model_HDI0.95_right_tp4,model_HDI0.95_right_tp5,model_HDI0.95_right_tp6,pp_pval,"protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6"
Eef1a1,24265660.328304384,13.152276989771572,77.0722289522642,3.9143656741140878,122.48475149908082,43.28911539967213,10.14911767082455,28.358967690669022,63.190240287572884,0.002814633870446086,0.0052848107576472896,0.0018582112157182991,0.006948794612613113,0.0042752298132115426,0.0026747779399245715,0.0037583928419804903,0.005061958823021467,22937280.411928996,23044288.037805602,21895262.20538119,20679354.005448487,19174626.51577622,17672922.86232723,25515944.988057125,25055363.34845308,23324187.32856013,21807646.531718906,20519740.45047212,19503920.668240324,21653989.837922804,22055991.341742348,21199045.34902933,20147296.33629683,18490452.77493767,16590599.976971285,26878903.948958725,26297008.622015066,24160969.436240196,22432773.874003008,21103735.879544325,20180147.725091986,0.474,1.1131591333755293,1.117633466500716,1.0486709208487952,0.976341360016828,0.9058766689515632,0.8383184503065685,24265660.328304384,24363195.931755997,22859887.32295877,21283181.43947765,19747127.691848926,18274431.88684427
Eef1d,1640878.5024346958,94.27397484476039,407.5293529166822,22.860932225906467,634.4511948404281,276.2850934240624,67.35314253448347,177.3382163552558,331.2596590107211,0.0029228329097925687,0.009356267175602024,0.0014876510517471517,0.014643012790537781,0.006922736014480517,0.0025687323639722115,0.0048915118164519844,0.00850989731705836,1532981.0477273997,1820805.6469409887,1824656.5079388868,1729276.4651621091,1593652.9432615568,1440428.0537930804,1926693.979452045,2105018.0480141616,2072650.4451464368,1945323.1442604659,1845350.472694504,1758688.035584111,1308359.3334731758,1729119.0532803657,1686437.9467847834,1632726.1446351588,1481115.028524798,1274429.5553630227,2105565.3012908692,2327352.3620043737,2165117.6872449717,2056976.847090431,1950143.523231711,1884996.908057381,0.3665,0.9085169631524994,1.1331425961117811,1.0999142897681664,1.0333554981816542,0.9541644999945197,0.8709061527913788,1640878.5024346958,2046576.3453673248,1986562.4812757198,1866350.207105989,1723322.8209571163,1572949.3688205425
Eef1g,1603095.6200842785,10.420630922654205,45.65022305994437,3.572332251449677,67.03391629770655,26.811881809980495,7.928418832816783,19.254388943723797,37.17486946842381,0.0021770962609701525,0.004909698863734051,0.0012192398281836905,0.00661554207957134,0.003537911458933352,0.0019274827912571096,0.0031071502416000446,0.004455936792856738,1484827.6837443982,1628415.806962616,1597432.066008311,1557177.8029017113,1467159.1997876803,1390355.7252863396,1837193.057494211,1835863.7135151604,1741038.9208354284,1661097.222267425,1570262.676390279,1523636.9727154078,1242346.3675566288,1545325.0771885463,1551457.6252712782,1499509.0654275194,1423503.0318348026,1323531.7248171938,1969080.9819025744,1945923.550012366,1840736.5754011057,1706803.809890084,1631351.0063933672,1585344.615522613,0.6405,0.9988812832267747,1.0988516981145473,1.0537957700414247,1.0022690213127694,0.9493647125162605,0.8968375147882236,1603095.6200842785,1763537.2430636254,1691227.3878628877,1608532.5705796438,1523626.9194883567,1439326.4905714204
Eef2,4405088.734942605,6.184123131902051,26.95705883957594,2.3713986851058584,46.23502911305674,15.467684519210389,5.100965902875359,11.693295867918206,23.225822228531946,0.00206095441953972,0.004167507503598014,0.0012948121823689901,0.005616242451278946,0.003144327653841805,0.0019081002588174649,0.0028297285032272586,0.003927051581939402,4117262.6646275055,4305649.67030941,4226418.846991152,4068044.7254413525,3848014.475084202,3631192.010409507,4617627.7633212935,4581705.461678451,4426782.775943059,4264134.854746914,4106809.3989784233,3972654.41552429,3880287.785139504,4199966.86997407,4132367.883846677,3969881.9917085725,3739665.3315989417,3475012.3328048238,4861750.582978803,4731261.222458901,4523963.345064363,4354433.329164637,4221286.659983066,4132388.1456706836,0.05,1.0521368291551016,1.0684492892499358,1.0370492658526786,0.9951085021003071,0.9480295092269404,0.899226604415037,4405088.734942605,4473385.777885829,4341920.0925193485,4166322.4128061277,3969211.9843788203,3764883.877746503
Eefsec,4298.707559201747,18.577150293515004,114.3725213764178,5.001023246026576,205.3239157903086,60.76687360599342,13.455731733755236,40.2585170307197,89.2917086295973,0.00496231833405453,0.03651531897963073,0.0020279075516055805,0.10419031784715264,0.011696622624003106,0.0053948881888565055,0.014434626092151848,0.03989543259926924,1495.3818861798015,4343.723528228065,3668.935671417204,2495.772443030318,19.43336810006567,21.826470221937186,9668.868048751203,10423.836006828404,10129.445805744212,9254.440369414931,6363.957196905761,5600.289847965689,0.2549421723670093,1662.841654979767,376.27306933398285,110.3381643138544,19.43336810006567,21.826470221937186,14886.112186551223,13856.26489767378,12838.616979147744,12121.608112717237,11659.183339649911,11140.160327203734,0.763,0.6435984341207749,1.1555741368631693,1.2189733863578744,1.1276109548951854,0.9898952499320506,0.8643478378309455,4298.707559201747,7718.283659496235,8141.7384390637435,7531.512630649155,6611.685125545665,5773.131796598377
Efhd2,2466841.422298124,498.1824652949729,899.6247444983247,416.5791713447577,1223.5663293750022,783.7941300303778,517.3207903280054,692.0325239546165,940.0238937009993,0.004031299633927068,0.01407528806474022,0.0016545847596829266,0.020033697146033706,0.008629076661939723,0.003266914200269835,0.006699947163538527,0.011708965852764526,2258520.695423326,3398540.9630881813,4111095.9481148063,4645194.67278396,5024838.7077773735,5788513.634482435,2721250.1747482815,3788494.3693836224,4472830.074660191,4918066.300768585,5293964.209850372,6123360.214629525,2027832.3282332555,3214172.736044257,3953677.1859491686,4517845.323799942,4895222.975708662,5636073.877000539,2944879.4757114365,4000261.8384794337,4670375.911921091,5058432.567027038,5411326.492639103,6294061.539339262,0.5205,0.5608866412092813,0.8319328689620028,0.9877879554461326,1.0928309422620424,1.173309920925435,1.3532516711951046,2466841.422298124,3658932.6807679124,4344400.572080111,4806391.234650939,5160346.675206756,5951750.375264607
Efnb1,19665.224427917623,29.579991682246305,55.97679586448513,21.635327820964598,77.77559475011556,45.97208738352524,29.894339756705484,40.578471767389075,56.666053629145296,0.005581929057841642,0.01997874832488953,0.0025691888997819556,0.03362254235559677,0.012632520417377597,0.00485559977095799,0.010162300174750664,0.01793168492801859,10935.020796242014,46557.05480076055,59962.86872825267,67781.18691032876,68783.83616148392,70474.68094224049,29056.964284805264,60955.70383956049,72365.88695392045,79716.38038278763,83866.7157892608,89998.8726615465,2383.192531918681,41535.614718237404,54887.983562313566,60030.8385696437,63247.7664680497,62053.37246588258,37459.74837439648,70116.99582334397,79575.33369151023,84183.46848825375,92789.79228379262,100575.28083012381,0.523,0.31464237878924006,0.8928492323559506,1.0908100253027033,1.1879541416793464,1.2495166138740965,1.2642276079986627,19665.224427917623,55803.29198545386,68175.88920584951,74247.419867897,78095.08920190662,79014.52987652457
Eftud1,25674.458121713047,43.72487266806217,78.63652761232808,33.466264298257364,109.7536818959885,65.4725452602983,44.389457074057795,58.90315161614226,80.00895313596043,0.0027020931156222544,0.009948805293602531,0.0012138466140528496,0.015915191902954453,0.00591389324268461,0.002352414108657648,0.0047863454793122505,0.008791341470418393,21147.602161267187,37922.61336368965,40947.46892799002,43131.774809106624,49288.476879009504,54558.202252403185,30845.40869235544,45105.678059429054,46889.321935153166,48931.602772530976,56043.39536710134,62982.940843926015,16850.64309358456,34873.163494329085,38205.675223616185,40522.05844272256,45910.53626722748,50604.006423024075,35456.85533854442,48958.29749854536,49598.93322616538,51774.165135964315,59432.29515201406,67577.40290255574,0.2875,0.5678455831065845,0.9244724738702208,0.9753926987839235,1.0320314594627173,1.1740141163307838,1.32624366844577,25674.458121713047,41798.91597501838,44101.21297439415,46662.06672121368,53081.64254643323,59964.51947096807
Eftud2,260290.686370495,20.47635546804593,269.79431226881536,5.871354294585513,613.3022165260631,87.57172201764925,16.9136490006905,64.68359940928922,229.23068035773846,0.0061859108078271795,0.009240078799852548,0.005249557185687109,0.012737570921541241,0.0077558156632840875,0.0064417871102308505,0.007738119189087743,0.00973465850376966,248509.28856973964,240037.71511141988,210147.972645188,180623.7932374545,155002.70912077802,132211.6650233523,281786.3453081791,245868.98560875788,219096.21068445503,194667.64501177374,173201.88721884956,153282.0754705417,196465.41019398067,236908.7722303233,205862.7693303732,174994.90978397013,148929.77711536986,125748.97114817766,287556.31694881694,248459.82659974825,223845.78927855648,202098.90352696372,183427.1656008111,167201.46763385256,0.331,1.2849715735469784,1.1982244102137103,1.0587818824136177,0.9281110945487842,0.8163791821459703,0.71353185713094,260290.686370495,242718.71890480048,214472.49772954584,188003.12691846667,165370.11559936203,144536.813625501
Ehbp1l1,12.94121297026949,0.9174855943781471,3.747296106328262,0.5248650945575959,11.71404743240656,1.7590908103531984,1.034270415401939,1.893595323878862,4.4721276580318206,0.010850945200414295,0.1500463661784002,0.0037238743541010986,0.4493455502940335,0.01783470662829682,0.010185303918539146,0.036396288561176944,0.14174877759485496,6.218524637903157,718.3855284383476,844.9490761717145,619.7000683382404,640.8194579328339,788.9371366865097,913.644899841979,1480.2443885101486,1915.794900213419,1975.4737676980014,2174.852080151361,2610.8207373442765,0.5710865217662899,339.98092415154264,350.0994002014544,264.8992392908335,293.6365392871411,378.574253392625,1912.759427025616,1895.7391835738904,2333.9727845218804,2666.234815086629,3098.837572411601,3762.340056838628,0.245,0.008078982786229691,0.6377277143476145,1.0103669176822547,1.2208143104732285,1.4180774676873122,1.7049346070233609,12.94121297026949,1021.535803057104,1618.4430398994366,1955.5454451413382,2271.528854964466,2731.027213906078
Ehd1,91567.88173676748,97.01612536018344,147.85697496998586,81.36778753083819,177.90341540307304,132.4659451731911,98.13146115322917,120.47881948252078,149.72611356500474,0.0062136854555106345,0.01768732460066816,0.00272162734620308,0.023873016049268985,0.01186229042601102,0.0050808677024886464,0.009514837226798436,0.015159532016850432,78422.3177287048,254533.90088818423,405502.3597043903,501446.74294788146,544539.938574674,551039.9808660421,113092.58000382707,306778.708700552,470024.5957663762,555146.0151547922,604694.5817374594,644055.1364246317,59206.67706378557,240116.83087592,380533.0992949367,478613.141509791,516184.26451654546,506040.6532203778,127917.85926992766,340241.58424201555,506013.7680340703,587947.9722068161,631604.6261054659,682965.1850072199,0.5705,0.21738182914430718,0.7024054854755628,1.0705554017086791,1.2742229789659378,1.3530249376942456,1.382409367011267,91567.88173676748,295874.69513188355,450950.7110239767,536741.7299942253,569935.527589282,582313.1488430678
Ehd4,30596.894363047304,67.77443018472152,155.99358013196735,35.333217671146805,241.61559968309953,112.01772281477065,63.08140388811089,102.07509859533931,148.78069400019757,0.0027434173273744172,0.011642994474054504,0.0012171975174364797,0.021929878570479157,0.006345860145075946,0.002562277239223767,0.005516331309848073,0.010965650210595746,19432.410142457902,41089.477471771956,51706.38409180125,58197.35821375256,60565.046225324004,60853.57673030304,47027.404703245615,56474.83499136911,60593.15659781053,66706.39589536487,73545.66482975995,78651.68687046759,8342.075289675971,34978.353607095065,47008.86173203292,54314.07146953669,54473.332843925986,53596.13437158897,60662.559881809444,64858.633287271885,64754.54531800963,70601.14134750747,78793.2606253601,87836.47469759075,0.087,0.5429845954302698,0.8235041701663655,0.9844101867217456,1.127151211949701,1.2251850180503272,1.296764817681591,30596.894363047304,46404.02382344377,55470.992633161964,63514.37380258905,69038.52685317688,73072.01065046653
Ehhadh,499978.3691371459,733.9037053054504,880.1356451724055,665.0470662660847,953.6220485019561,813.6209520780253,732.0921679271665,804.7518347520744,878.3815350842312,0.009505311951652294,0.013501491929279722,0.007730714558857063,0.01541956188158434,0.011397198475768184,0.009236942754385894,0.011175056840228006,0.013174795098034663,435080.1140278682,1188628.0085930112,1739252.8231411509,1999275.0508607987,1914239.8657935932,1603677.3947691137,578157.6886792098,1286442.1175563578,1847991.4406013263,2103939.503875804,2034167.431412108,1781656.609537276,381123.69161785947,1142891.7134795994,1679084.1286435053,1942888.698474777,1845874.977992911,1534153.5427029282,663304.1991391404,1334788.4752667341,1894560.5946101889,2153639.740333224,2091495.4231362932,1894413.7130141824,0.5435,0.3247240530817877,0.8008658480587046,1.161347820818902,1.3330504927260942,1.2804943284084482,1.0995174569060633,499978.3691371459,1233094.9826780355,1788129.9027385756,2052500.9003961652,1971580.0536825953,1692929.5496421228
Eif1,206183.00568117565,4.309876574537625,11.062711596488377,2.4527646726411887,18.441593241671505,8.048675532135125,4.319066747544025,7.004432100585901,11.08782319885708,0.004444905690271455,0.01788651960757595,0.0018543141885558445,0.03150952184653349,0.010103732576898122,0.00392531158411172,0.008420628216018355,0.016099851357371953,146498.18419168357,263719.6318241719,294366.6162832741,296899.6723508847,271060.8706018331,256691.3166686397,266904.38293749315,359350.18136011687,388255.97055861814,398341.1112531568,386814.1490282914,392423.9464438947,94025.51131943874,213302.18013899907,248416.3600938784,248770.4876384737,217500.66802207503,195466.36339096,326922.62161193305,407552.4423798522,435147.5317126305,450336.6825806661,447619.62883661635,456004.1336052769,0.4075,0.646749546307419,1.0056358839660209,1.1118108813126326,1.1178606699499305,1.067742197201965,1.050200821262033,206183.00568117565,320595.55412258924,354444.02020363015,356372.6858085705,340394.97479149344,334802.8044749804
Eif1a,482587.85243831,10.318488276857153,48.62286573603312,3.5612238902032014,80.60270882498966,31.521189665377012,8.456296609794709,21.2713373441101,42.560347060878875,0.002282090129784914,0.005080473908197612,0.0013450968216625302,0.007026873517329297,0.004011190686300937,0.0021957391054054603,0.003336010150294548,0.004914307852325745,453389.9832537014,457373.06804658315,454148.56461158773,440589.1180537026,419159.4309783947,393953.36651644576,512367.4327432926,499929.96800019295,488925.81819581,473188.98912444385,451855.96582273685,433196.4239044151,426479.6964714049,438438.0130833208,437827.54081991385,422398.3660302983,403588.16269448405,373364.93081040174,543372.271573337,522441.6232510726,509168.46194113174,489042.48056318186,469418.23503176,448732.4123698361,0.418,1.0512277161615453,1.0590849147903134,1.036598454863581,1.0047586615282769,0.9544132469996962,0.8939170056565876,482587.85243831,486194.8621795331,475871.98708962795,461255.2706051448,438143.1654884923,410371.11311437655
Eif2a,239309.56731656552,24.979157256623687,167.33035534406895,6.6661236586783765,275.36273702389315,103.78564538832599,17.472171802859787,54.97830981448841,126.34239548999058,0.004932293851205097,0.012620927492928822,0.0029554217593370704,0.01940384704849994,0.010258257448447761,0.004595302003233494,0.007369238248477915,0.011790978719646066,210344.43341567105,229455.43214537852,217601.28610634207,202534.1782926857,185008.47102006013,160812.56206111205,276821.99962858873,279203.0072976001,250857.365130743,223704.97711915488,204332.33603505872,187264.32417582453,174753.8515170658,212411.17530148965,205150.8462446164,193130.07198663073,174122.62844395914,148258.33454682323,309661.34254689503,306988.8669372794,268513.59142375627,234515.44951622727,213794.29139881922,200296.168875155,0.6155,1.0825963471519569,1.197261762401317,1.0969696467098948,0.9828464655033531,0.878522799390515,0.7618029788429631,239309.56731656552,264656.5315675423,242486.8070210689,217259.70442906828,194198.7995368436,168397.70587346258
Eif2ak2,15394.396654388433,14.402358697336645,44.58981819729541,5.322985410875141,74.70535999365632,26.86381687325694,12.406206092147208,23.948263728060883,39.49858981388965,0.004071796789225078,0.02139455107248154,0.0016096450408978433,0.048424461157247675,0.009351452854282119,0.004046723056307728,0.0093489419825678,0.021281793513155577,8902.284620959934,18029.45242991337,21591.088877062404,21331.869358446478,19324.249520235157,16334.585658815951,26034.970060157742,28888.859165209014,31530.234618203107,33825.902572074905,34384.452263607185,33692.79025383072,918.424785053474,13215.271301172856,16364.835941844924,15567.428706389268,13723.407778624467,10315.02161071884,32085.34022193256,33513.62813687048,36532.343926244124,40182.7378271599,42919.517645895234,42947.27373012048,0.33,0.5799726747587254,0.886532992468913,1.0636187314344796,1.1610970946281711,1.173512816839821,1.1352656898698898,15394.396654388433,23531.52334107113,28231.965665540152,30819.364440574685,31148.918850282607,30133.71336028117
