gene,beta_0,delta_0
Atg2a,66.1484809,0.009852493
Atg3,68.11229917,0.016544092
Atg4b,13.24170122,0.030527935
Atic,1352.749229,0.004580676
Atl2,90.57386978,0.031832103
Atl3,97.70172993,0.016838017
Atox1,64.37747913,0.010707133
Atp13a1,214.6339047,0.005928146
Atp1a1,460.5809144,0.011255313
Atp1b1,879.3980079,0.005902366
Atp1b3,98.03001507,0.015210531
Atp2a2,583.4480713,0.008606728
Atp2b1,71.55217062,0.027681682
Atp2c1,30.05693266,0.205781629
Atp5a1,474.7133515,0.001645182
Atp5b,387.1894886,0.008159756
Atp5c1,398.0654884,0.010218604
Atp5d,733.9345626,0.012557425
Atp5e,169.6971374,0.019532478
Atp5f1,626.6137718,0.009803573
Atp5g3,10.56236272,0.10465016
Atp5h,418.997972,0.009336942
Atp5j,356.9991645,0.005313191
Atp5j2,150.9114429,0.015278215
Atp5l,83.91227554,0.005436022
Atp5o,191.8076982,0.006147964
Atp6v0a1,98.33380942,0.023449705
Atp6v0a2,8.184799862,0.011120472
Atp6v0d1,150.4825715,0.0053862
Atp6v1a,159.0953239,0.008073174
Atp6v1b2,227.0040412,0.006592665
Atp6v1c1,111.3801637,0.015920839
Atp6v1d,10.02737121,0.059389283
Atp6v1e1,371.8909186,0.005041636
Atp6v1f,62.01346522,0.01027627
Atp6v1g1,86.87092816,0.013671437
Atp6v1h,270.1300985,0.005387834
Atp7a,29.9835514,0.190090147
Atp8b1,38.46790047,0.010311719
Atpaf2,123.5819848,0.014845603
Atpif1,82.8665991,0.009633256
Atxn2l,71.3244962,0.015899113
Auh,106.1738753,0.010591628
Aup1,26.95186716,0.012920434
B2m,62.67279546,0.031156248
B4galnt1,187.9956149,0.018247972
B4galnt2,6754.775621,0.03244008
B4galt1,96.55479269,0.030944369
Babam1,96.79662008,0.017327278
Bag1,10.27360229,0.004770909
Bag3,98.24924325,0.01360531
Bag4,96.49650153,0.006572226
Bag6,97.05736161,0.007313858
Baiap2l1,281.2298388,0.01889877
Baiap2l2,97.3149802,0.015346118
Bak1,307.6845541,0.016300641
Banf1,112.5465689,0.005343264
Bax,122.9508187,0.00338856
Baz1b,13.49596045,0.018934094
Bcap31,416.6734222,0.00852217
Bcar1,97.19464718,0.008454845
Bcas2,98.17245461,0.016172233
Bche,81.81489131,0.013881064
Bckdha,96.19997001,0.011485329
Bcl2l1,39.77623592,0.020332979
Bcl2l13,115.1658272,0.002717029
Bcl2l15,97.7396438,0.005209399
Bclaf1,105.2519051,0.009584035
Bco2,124.663307,0.0220011
Bcs1l,99.83756777,0.007401575
Bdh1,612.5941953,0.016422936
Bet1l,97.02329477,0.010473103
Birc6,98.6522,0.014915434
Blmh,45.49510813,0.013278144
Blvra,299.76452,0.002548275
Blvrb,96.20088249,0.011960348
Bnip1,908.6327076,0.100252415
Bphl,162.4649877,0.008686651
Bpnt1,140.2504778,0.004935928
Brca2,95.60253542,0.005782034
Brcc3,60.34448778,0.04911326
Bri3bp,125.2306891,0.006217663
Brox,89.30256814,0.008554785
Bsdc1,18.10935764,0.011316769
Bsg,113.0499229,0.010565777
Btf3,21.60521654,0.006467102
Btnl1,207.647117,0.024187379
Btnl2,192.5781881,0.032898764
Bzw1,127.5231825,0.032050243
Bzw2,97.66279303,0.005063605
C1galt1,277.782125,0.116598484
C1qbp,440.9953752,0.01007532
C2cd2l,62.42331215,0.013687194
Cab39,27.47754034,0.025003805
Cacybp,50.69353391,0.004330405
Cad,811.6082831,0.158832761
Calml4,48.34237457,0.011069192
Calr,417.8624272,0.005058018
Calu,497.1305955,0.006258696
Camk1d,22.79770617,0.016244195
Camk2d,258.6505855,0.051497409
Camsap3,96.95731131,0.008893676
Cand1,65.59812574,0.007193659
Cant1,19.60676836,0.024316668
Canx,616.9711856,0.003400958
Cap1,2205.738987,0.005157421
Capg,205.0947128,0.00838825
Capn1,155.281117,0.005808952
Capn13,98.72015193,0.022305808
Capns1,27.19330408,0.004502714
Caprin1,125.6738773,0.013043542
Capza1,231.6866308,0.011890419
Capza2,356.5640342,0.014712219
Capzb,221.9672107,0.004486731
Carhsp1,68.88725087,0.010195075
Carkd,57.21031214,0.008934745
Cars2,86.15744713,0.006883369
Cask,583.4126135,0.095240331
Casp1,129.8400107,0.003826328
Casp3,1165.357337,0.006246108
Casp6,104.7897255,0.001710312
Casp7,44.91526697,0.021651043
Casp8,82.53364988,0.00484197
Cast,228.5752571,0.009055135
Casz1,11.78710998,0.018583619
Cat,272.6929524,0.01265721
Cbr1,138.2529766,0.002575513
Cbr4,235.8448194,0.01104248
Cbx1,297.1446989,0.009128181
Cbx3,111.4528369,0.008763566
Cbx4,96.67365471,0.170530352
Cbx5,60.68681804,0.019274237
Ccar1,32.92829572,0.007171786
Ccar2,86.31368263,0.008563403
Ccdc134,542.6806752,0.006327009
Ccdc47,142.2637901,0.004029866
Ccdc51,541.2413669,0.009356667
Ccdc6,38.96534307,0.008531822
Ccdc90b,96.08363638,0.623218451
Ccdc91,97.00644995,0.005923476
Ccdc93,95.47420188,0.011061269
Ccl25,92.09444314,0.009275957
Ccs,36.26681356,0.006808719
Cct2,89.89533626,0.002213118
Cct3,163.7884465,0.002704054
Cct4,271.8383025,0.005412932
Cct5,179.2631475,0.004519053
Cct7,232.2858344,0.007624424
Cct8,83.05042371,0.002726413
Ccz1,52.97185307,0.005465567
Cd2ap,58.5182947,0.012497633
Cd2bp2,17.24220459,0.131007614
Cd302,96.78630333,0.010528458
Cd36,97.23794192,0.008976874
Cd38,441.0301756,0.003372634
Cd47,180.1400686,0.043227201
Cd74,11.76076695,0.049941595
Cd82,233.507261,0.028440965
Cda,119.050134,0.007821752
Cdc27,97.17059431,0.03055431
Cdc37,71.5360619,0.007178803
Cdc42,514.0661072,0.018175509
Cdc42bpb,41.08087849,0.011889145
Cdc5l,140.2619308,0.023976902
Cdh1,68.84752158,0.005560904
Cdh17,176.0753075,0.007570658
Cdhr2,51.63083701,0.043276062
Cdhr5,32.10524464,0.019800565
Cdipt,146.4888977,0.008599854
Cdk1,120.1546841,0.084468384
Cdk11b,24.60211753,0.039488811
Cdk5rap3,81.09541076,0.010541134
Cdkl2,75.26609847,0.027881685
Cdkn2aip,39.31334239,0.005871524
Cds1,47.92658664,0.012562316
Cds2,211.6889571,0.010406216
Cdv3,38.45441513,0.012442099
Ceacam2,33192.9794,0.006670891
Ceacam20,43.02781647,0.044566871
Cela1,97.43601647,0.005739822
Celf1,9.095801992,0.055634765
Celsr1,97.52770857,0.069014278
Celsr2,94.64857803,0.006989015
Cenpv,369.5436978,0.007154096
Cep290,95.99618502,0.004083874
Cep70,98.75799878,0.193123763
Cep97,99.27051827,0.122635983
Cers2,96.8943895,0.015006621
Ces1d,99.49769456,0.010044946
Ces1e,207.4534579,0.013896589
Ces1f,165.4366453,0.003998471
Ces2a,126.4084332,0.013327249
Ces2c,18852.0292,0.010196459
Ces2e,269.296018,0.014779838
Cfdp1,99.1117732,0.061433482
Cfl1,319.6871744,0.003429861
Cfl2,97.07963211,0.006006855
Cgn,388.8463168,0.035058376
Cgref1,52.99727147,0.020399142
Chchd1,95.58189776,0.018873769
Chchd3,861.6676424,0.009274291
Chchd4,282.4438498,0.004679025
Chchd6,184.0701632,0.009266763
Chchd7,5.255361339,0.004620116
Chd2,260.2170857,0.008543175
Chd4,47.44872757,0.01305606
Chd7,96.54346533,0.007751249
Chdh,734.4800996,0.007458641
Cherp,22.54797768,0.010078909
Chid1,46.66403977,0.013257406
Chkb,13.39418819,0.009316585
Chmp1a,71.55723638,0.019202014
Chmp2a,95.44895205,0.015805554
Chmp2b,47.05005782,0.013781021
Chmp3,20.8637503,0.008255026
Chmp4b,96.42213025,0.008250676
Chmp4c,46.42264922,0.01134291
Chmp5,18.00365155,0.045660048
Chmp6,87.2151183,0.006638717
Chordc1,90.18149043,0.008834865
Chp1,367.2885402,0.006745036
Chp2,432.0163658,0.016612374
Chpt1,49.13005366,0.011385002
Chtop,18.94449937,0.037690124
Ciapin1,41.15916947,0.018010282
Cib1,96.25870444,0.006606887
Cir1,2204.495538,0.020952893
Cisd1,323.4651293,0.019278887
Cisd2,151.9044018,0.006749486
Cisd3,63.50994548,0.019845811
Ckap5,152.531145,0.003989735
Ckb,303.216596,0.007493793
Ckmt1,598.4413327,0.008687797
Clca4a,198.0994652,0.008960832
Clcc1,72.14705251,0.011959265
Clcn2,38.52133952,0.011167686
Cldn15,96.21595785,0.039218271
Cldn3,153.3901664,0.013206545
Cldn4,97.99266257,0.015136124
Cldn7,37.84578326,0.038036076
Clec2h,11.96984245,0.035443014
Clic1,370.3070029,0.011071957
Clic5,71.00695454,0.003743116
Clic6,24.77639452,0.013160934
Clint1,300.7213634,0.017386971
Clip1,96.31238998,0.006280885
Clip2,99.49081675,0.058911649
Clns1a,28.67918952,0.133161011
Clpb,127.9796318,0.010073698
Clpp,644.3720864,0.01322645
Clptm1,464.4069824,0.020589631
Clptm1l,16.66301894,0.004511651
Clpx,203.9598337,0.022700439
Clrn3,97.22454656,0.005758616
Clta,184.4081775,0.006575604
Cltb,147.0730857,0.006462439
Cltc,180.878816,0.013485237
Cluh,34.64433785,0.008077994
Clybl,978.3023758,0.010686165
Cmas,13.58599864,0.005879337
Cmbl,334.0144176,0.001642556
Cmc1,94.7369162,0.006143826
Cmpk1,37.20748197,0.005696291
Cmpk2,24.60453634,0.005809498
Cmtm6,125.5992806,0.015667774
Cndp2,374.9785855,0.002731192
Cnn3,52.60174921,0.022859679
Cnnm4,209.1002231,0.012373446
Cnot1,6.13125795,0.028126152
Cnp,9.553488985,0.016889809
Cnpy2,406.1182246,0.011636225
Cnpy3,190.7874982,0.007001292
Cnr1,203.1431091,0.007695583
Coa7,102.1136077,0.00537463
Coasy,63.01427888,0.014061351
Cobl,113.0968613,0.018796027
Col4a3bp,20.14910966,0.080819402
Colgalt1,95.39702196,0.006248477
Commd10,97.64551803,0.008312535
Comtd1,343.9444099,0.01511417
Copa,49.56115694,0.006521091
Copb1,131.6829974,0.004248642
Copb2,161.1633415,0.009881333
Cope,51.42045511,0.00560248
Copg1,511.7577961,0.009431467
Copg2,70.63060525,0.005342448
Cops3,61.00188936,0.010635589
Cops4,66.54129934,0.006096153
Cops5,46.66866053,0.003629222
Cops7a,96.75173122,0.011435274
Cops8,90.29915218,0.007276506
Copz1,184.8481653,0.005212152
Coq4,50.79115615,0.017483119
Coq5,167.1087006,0.011301658
Coq6,86.93570143,0.064601879
Coq9,480.1636608,0.011891195
Coro1b,198.7455644,0.012944859
Coro1c,297.6808461,0.009823548
Coro2a,118.1121256,0.01516035
Coro7,105.7198827,0.002327565
Cotl1,256.8544647,0.003496659
Cox11,74.46789575,0.010242628
Cox17,14.84214916,0.006599097
Cox20,78.41213837,0.009028785
Cox5a,221.7849457,0.003810203
Cox5b,102.6914876,0.004206645
Cox6b1,119.0092682,0.008027422
Cox6c,80.69433142,0.007862701
Cox7a2,4.890842163,0.085664858
Cox7a2l,98.23638507,0.026617941
Cox7c,35.80915233,0.019367282
Cpne3,82.4861849,0.008806031
Cpox,31.27686555,0.066525928
Cpped1,246.0247642,0.004485057
Cps1,1725.391855,0.008234029
Cpsf1,39.04673812,0.010171861
Cpsf3,95.16613825,0.016148166
Cpsf6,83.28967428,0.024167462
Cpt1a,178.9556134,0.007362753
Cpt2,364.9579172,0.014613727
Cr1l,145.665159,0.009080122
Crat,89.16485111,0.011668578
Creb1,112.0875884,0.012123244
Creb3l3,98.10475506,0.009275039
Crip1,15.78679655,0.012135905
Crk,23.71453702,0.005254369
Crkl,201.8091868,0.0109347
Crocc,4647.942461,0.003789794
Crot,125.1157548,0.014537065
Cryl1,247.0528881,0.009497861
Cs,1180.17682,0.018697798
Csde1,15.79624014,0.006294463
Cse1l,98.73445125,0.008174508
Csk,97.94015719,0.013482037
Csnk1a1,32.62868486,0.010395668
Csnk1d,39.1038043,0.041035321
Csnk2a1,38.15148487,0.013717446
Csnk2b,94.05886484,0.010508946
Cst3,8.889176162,0.095579563
Cstb,95.61504486,0.007858913
Cstf2,231.8768532,0.003788957
Cstf3,97.00907154,0.006764356
Ctbp1,37.57308047,0.009524983
Ctcf,70.11425328,0.013437959
Cth,343.2898982,0.00961095
Ctnna1,248.150952,0.005505927
Ctnnb1,165.9996274,0.014301294
Ctnnbl1,7.764190101,0.072012691
Ctnnd1,149.5040365,0.0097542
Ctsa,60.1292933,0.003412108
Ctsb,75.99871402,0.018279835
Ctsd,58.80729085,0.005879798
Ctsh,78.28197244,0.009110221
Ctss,98.95001406,0.011339337
Ctsz,230.0076982,0.010776692
Cttn,200.0014778,0.008840477
Cubn,95.26670836,0.016318707
Cul1,48.64261479,0.009170186
Cul3,97.79521412,0.007978234
Cwc15,90.30359189,0.034017762
Cxadr,146.6756608,0.018180772
Cyb5a,1280.468462,0.005706401
Cyb5b,242.4141646,0.006130846
Cyb5r1,97.80128921,0.045597583
Cyb5r3,844.8053911,0.014204786
Cyc1,151.8604135,0.006976999
Cycs,39.0332921,0.013495792
Cyfip1,47.86676419,0.005288829
Cyp27a1,98.4835196,0.020134848
Cyp2b10,225.8407508,0.011359102
Cyp2c40,305.6125815,0.004157303
Cyp2c55,76.76628149,0.011336554
Cyp2d26,84.6612656,0.020737928
Cyp2s1,393.4684822,0.006473062
Cyp3a11,45.56623634,0.030186493
Cyp3a13,2274.499509,0.12408889
Cyp3a25,53.55837914,0.024452962
Cyp4b1,90.30065994,0.00708173
Cyp4f14,44.00761349,0.008714472
Cystm1,96.3028558,0.024378592
D10Jhu81e,915.9681509,0.007455394
Daam1,96.2233714,0.007620988
Dab1,77.54043638,0.005614481
Dad1,106.3808061,0.00634874
Dap3,250.758524,0.016230795
Dapk3,97.11960854,0.007209544
Dars,329.9806048,0.00760277
Dars2,184.0872911,0.00445604
Dazap1,58.4766787,0.022041361
Dbi,75.85275485,0.00655406
Dbnl,28.66820403,0.004668987
Dbt,574.1573381,0.003112259
Dcaf8,36.19770051,0.024535773
Dcps,792.8359397,0.005764001
Dctn1,79.80655668,0.003344518
Dctn2,128.9745399,0.005384074
Dctn4,94.53064881,0.004158572
Dctn5,182.3862324,0.00984791
Dcxr,286.8660884,0.003006101
Ddb1,24.79146091,0.019078349
Ddc,53.23668783,0.006302902
Ddhd2,96.97800492,0.000856272
Ddi2,36.96351849,0.008130303
Ddrgk1,85.87031516,0.016609864
Ddt,235.8605471,0.009125635
Ddx1,240.8669517,0.009506546
Ddx17,25.57353052,0.007792687
Ddx18,19.1290272,0.05994752
Ddx19a,745.0066719,0.081995661
Ddx21,113.6374632,0.011184557
Ddx39b,38.13888827,0.004596505
Ddx3x,43.44895373,0.019355922
Ddx42,15.55908479,0.021849085
Ddx46,152.2398935,0.002872624
Ddx5,43.03142792,0.01653007
Ddx58,126.9662224,0.014431023
Ddx6,43.25295459,0.012957465
Decr1,879.0376887,0.011945887
Decr2,191.780714,0.004700525
Defa-rs1,2307.97772,0.009635046
Defa17,22.37432011,0.009765159
Defa20,4360.234586,0.005358018
Defa23,407.63598,0.01045984
Defa24,113.7815325,0.012241571
Dek,56.46038829,0.019715064
Denr,46.28474092,0.015830571
Dera,61.80805314,0.009718639
Derl2,71.51757276,0.009410789
Dfna5,57.31607348,0.018642762
Dgat1,397.798149,0.018975806
Dgat2,98.46633095,0.011557765
Dgka,96.62803288,0.01058909
Dgkq,58.77062352,0.01679118
Dhcr24,55.33152291,0.017479395
